	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.45036059266384604	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997
blmnii_svm	0.45036059266384604	1.0	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997
brf_lmo	0.0025390624999999997	0.0025390624999999997	1.0	0.0025390624999999997	0.0025390624999999997	0.006924715909090909	0.0025390624999999997	0.010728433098591549	0.3158475535208528	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997
bxt_gmo__nrlmf	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	1.0	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.05217251712328767	0.0025390624999999997	0.24171874999999998
bxt_gmosa_1k	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	1.0	0.76953125	0.006924715909090909	0.0025390624999999997	0.004836309523809524	0.0025390624999999997	0.0025390624999999997	0.004836309523809524	0.0025390624999999997
bxt_gmosa__nrlmf	0.0025390624999999997	0.0025390624999999997	0.006924715909090909	0.0025390624999999997	0.76953125	1.0	0.008044977985217229	0.006924715909090909	0.010728433098591549	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997
bxt_gso_1k	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.006924715909090909	0.008044977985217229	1.0	0.0025390624999999997	0.004836309523809524	0.0025390624999999997	0.0025390624999999997	0.034399452340388145	0.0025390624999999997
bxt_gso__nrlmf	0.0025390624999999997	0.0025390624999999997	0.010728433098591549	0.0025390624999999997	0.0025390624999999997	0.006924715909090909	0.0025390624999999997	1.0	0.010728433098591549	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997
dnilmf	0.0025390624999999997	0.0025390624999999997	0.3158475535208528	0.0025390624999999997	0.004836309523809524	0.010728433098591549	0.004836309523809524	0.010728433098591549	1.0	0.0025390624999999997	0.010728433098591549	0.0025390624999999997	0.0025390624999999997
dthybrid	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	1.0	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997
lmorls	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.05217251712328767	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.010728433098591549	0.0025390624999999997	1.0	0.0025390624999999997	0.21357412704811263
md_ss_bxt_gso	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.004836309523809524	0.0025390624999999997	0.034399452340388145	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	1.0	0.0025390624999999997
nrlmf	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.24171874999999998	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.0025390624999999997	0.21357412704811263	0.0025390624999999997	1.0
