	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.012833655357370343	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.4951171875	0.007617187500000001	0.00390625	0.00390625
blmnii_svm	0.012833655357370343	1.0	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625
brf_lmo	0.00390625	0.00390625	1.0	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.01620678191489362	0.00390625	0.00390625
bxt_gmo__nrlmf	0.00390625	0.00390625	0.00390625	1.0	0.3409598214285714	0.09309895833333333	0.04265625	0.04346108638508573	0.6420601717034143	0.00390625	0.5563858695652174	0.21173199152542374	0.3409598214285714
bxt_gmosa_1k	0.00390625	0.00390625	0.00390625	0.3409598214285714	1.0	0.5947666952054794	0.2971951844262295	0.09309895833333333	0.1871421930696829	0.00390625	0.65	0.01620678191489362	0.5947666952054794
bxt_gmosa__nrlmf	0.00390625	0.00390625	0.00390625	0.09309895833333333	0.5947666952054794	1.0	0.4616675868546351	0.14432565789473686	0.09309895833333333	0.00390625	0.921875	0.01620678191489362	0.45703125
bxt_gso_1k	0.00390625	0.00390625	0.00390625	0.04265625	0.2971951844262295	0.4616675868546351	1.0	0.789782072368421	0.01620678191489362	0.00390625	0.5947666952054794	0.00390625	0.14432565789473686
bxt_gso__nrlmf	0.00390625	0.00390625	0.00390625	0.04346108638508573	0.09309895833333333	0.14432565789473686	0.789782072368421	1.0	0.030844375404347243	0.00390625	0.5947666952054794	0.00390625	0.14432565789473686
dnilmf	0.00390625	0.00390625	0.00390625	0.6420601717034143	0.1871421930696829	0.09309895833333333	0.01620678191489362	0.030844375404347243	1.0	0.00390625	0.4951171875	0.031090561224489797	0.2971951844262295
dthybrid	0.4951171875	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	0.00390625	1.0	0.01620678191489362	0.00390625	0.00390625
lmorls	0.007617187500000001	0.00390625	0.01620678191489362	0.5563858695652174	0.65	0.921875	0.5947666952054794	0.5947666952054794	0.4951171875	0.01620678191489362	1.0	0.4951171875	0.8566862824675324
md_ss_bxt_gso	0.00390625	0.00390625	0.00390625	0.21173199152542374	0.01620678191489362	0.01620678191489362	0.00390625	0.00390625	0.031090561224489797	0.00390625	0.4951171875	1.0	0.012833655357370343
nrlmf	0.00390625	0.00390625	0.00390625	0.3409598214285714	0.5947666952054794	0.45703125	0.14432565789473686	0.14432565789473686	0.2971951844262295	0.00390625	0.8566862824675324	0.012833655357370343	1.0
