	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913
blmnii_svm	0.003311820652173913	1.0	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913
brf_lmo	0.003311820652173913	0.003311820652173913	1.0	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.009625241518027756	0.003311820652173913	0.033854166666666664	0.003311820652173913	0.27257198153099454
bxt_gmo__nrlmf	0.003311820652173913	0.003311820652173913	0.003311820652173913	1.0	0.003311820652173913	0.0177734375	0.0059742647058823525	0.024571572580645164	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913
bxt_gmosa_1k	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	1.0	0.013133081896551723	0.22179457720588236	0.0059742647058823525	0.723125	0.003311820652173913	0.6678082191780822	0.9593007893622097	0.0177734375
bxt_gmosa__nrlmf	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.0177734375	0.013133081896551723	1.0	0.00830965909090909	0.07734375	0.00830965909090909	0.003311820652173913	0.14894777108238302	0.003311820652173913	0.00830965909090909
bxt_gso_1k	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.0059742647058823525	0.22179457720588236	0.00830965909090909	1.0	0.0059742647058823525	0.4243537491350092	0.003311820652173913	0.723125	0.4178571428571428	0.013133081896551723
bxt_gso__nrlmf	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.024571572580645164	0.0059742647058823525	0.07734375	0.0059742647058823525	1.0	0.0059742647058823525	0.003311820652173913	0.0059742647058823525	0.003311820652173913	0.00830965909090909
dnilmf	0.003311820652173913	0.003311820652173913	0.009625241518027756	0.003311820652173913	0.723125	0.00830965909090909	0.4243537491350092	0.0059742647058823525	1.0	0.003311820652173913	0.4813150224844667	0.8566862824675324	0.024571572580645164
dthybrid	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	1.0	0.003311820652173913	0.003311820652173913	0.003311820652173913
lmorls	0.003311820652173913	0.003311820652173913	0.033854166666666664	0.003311820652173913	0.6678082191780822	0.14894777108238302	0.723125	0.0059742647058823525	0.4813150224844667	0.003311820652173913	1.0	0.8566862824675324	0.18645055970149255
md_ss_bxt_gso	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.003311820652173913	0.9593007893622097	0.003311820652173913	0.4178571428571428	0.003311820652173913	0.8566862824675324	0.003311820652173913	0.8566862824675324	1.0	0.07734375
nrlmf	0.003311820652173913	0.003311820652173913	0.27257198153099454	0.003311820652173913	0.0177734375	0.00830965909090909	0.013133081896551723	0.00830965909090909	0.024571572580645164	0.003311820652173913	0.18645055970149255	0.07734375	1.0
