	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.6344692190198442	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.043201958955223885	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668
blmnii_svm	0.6344692190198442	1.0	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668
brf_lmo	0.0033854166666666668	0.0033854166666666668	1.0	0.043201958955223885	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.03575024847805439	0.043201958955223885	0.0033854166666666668	0.6546409237501505	0.0033854166666666668	0.043201958955223885
bxt_gmo__nrlmf	0.0033854166666666668	0.0033854166666666668	0.043201958955223885	1.0	0.0033854166666666668	0.013133081896551723	0.0033854166666666668	0.013133081896551723	0.0033854166666666668	0.0033854166666666668	0.2517903645833333	0.008161272321428572	0.5867293074324325
bxt_gmosa_1k	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	1.0	0.0033854166666666668	0.9593007893622097	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.005748820754716981	0.0033854166666666668	0.005748820754716981
bxt_gmosa__nrlmf	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.013133081896551723	0.0033854166666666668	1.0	0.008161272321428572	0.0033854166666666668	0.0728600543478261	0.0033854166666666668	0.09358258928571428	0.6414473684210527	0.008161272321428572
bxt_gso_1k	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.9593007893622097	0.008161272321428572	1.0	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.005748820754716981	0.005748820754716981	0.0033854166666666668
bxt_gso__nrlmf	0.0033854166666666668	0.0033854166666666668	0.03575024847805439	0.013133081896551723	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	1.0	0.5258989726027398	0.0033854166666666668	0.1759463028169014	0.0349641393442623	0.025390625
dnilmf	0.0033854166666666668	0.0033854166666666668	0.043201958955223885	0.0033854166666666668	0.0033854166666666668	0.0728600543478261	0.0033854166666666668	0.5258989726027398	1.0	0.0033854166666666668	0.05600873161764706	0.025390625	0.005748820754716981
dthybrid	0.043201958955223885	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	1.0	0.0033854166666666668	0.0033854166666666668	0.005748820754716981
lmorls	0.0033854166666666668	0.0033854166666666668	0.6546409237501505	0.2517903645833333	0.005748820754716981	0.09358258928571428	0.005748820754716981	0.1759463028169014	0.05600873161764706	0.0033854166666666668	1.0	0.043201958955223885	0.005748820754716981
md_ss_bxt_gso	0.0033854166666666668	0.0033854166666666668	0.0033854166666666668	0.008161272321428572	0.0033854166666666668	0.6414473684210527	0.005748820754716981	0.0349641393442623	0.025390625	0.0033854166666666668	0.043201958955223885	1.0	0.005748820754716981
nrlmf	0.0033854166666666668	0.0033854166666666668	0.043201958955223885	0.5867293074324325	0.005748820754716981	0.008161272321428572	0.0033854166666666668	0.025390625	0.005748820754716981	0.005748820754716981	0.005748820754716981	0.005748820754716981	1.0
