	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.006924715909090909	0.3025418133802817	0.004616477272727273	0.006924715909090909	0.006924715909090909	0.014105902777777778	0.006924715909090909	0.02672697368421053	0.01904296875	0.014105902777777778	0.15991602822175735	0.009935461956521738
blmnii_svm	0.006924715909090909	1.0	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273
brf_lmo	0.3025418133802817	0.004616477272727273	1.0	0.004616477272727273	0.011229448437699048	0.004616477272727273	0.006924715909090909	0.004616477272727273	0.01904296875	0.7795251623376623	0.1265625	0.57890625	0.009935461956521738
bxt_gmo__nrlmf	0.004616477272727273	0.004616477272727273	0.004616477272727273	1.0	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.006924715909090909	0.004616477272727273	0.004616477272727273
bxt_gmosa_1k	0.006924715909090909	0.004616477272727273	0.011229448437699048	0.004616477272727273	1.0	0.014105902777777778	0.713610197368421	0.014105902777777778	0.011229448437699048	0.006924715909090909	0.047451331967213115	0.004616477272727273	0.461205051369863
bxt_gmosa__nrlmf	0.006924715909090909	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.014105902777777778	1.0	0.33339463982756684	0.15234375	0.004616477272727273	0.006924715909090909	0.03614936440677966	0.004616477272727273	0.004616477272727273
bxt_gso_1k	0.014105902777777778	0.004616477272727273	0.006924715909090909	0.004616477272727273	0.713610197368421	0.33339463982756684	1.0	0.06045386904761905	0.004616477272727273	0.014105902777777778	0.10235595703125	0.004616477272727273	0.2154575892857143
bxt_gso__nrlmf	0.006924715909090909	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.014105902777777778	0.15234375	0.06045386904761905	1.0	0.004616477272727273	0.006924715909090909	0.03614936440677966	0.004616477272727273	0.004616477272727273
dnilmf	0.02672697368421053	0.004616477272727273	0.01904296875	0.004616477272727273	0.011229448437699048	0.004616477272727273	0.004616477272727273	0.004616477272727273	1.0	0.06045386904761905	0.845703125	0.006924715909090909	0.006924715909090909
dthybrid	0.01904296875	0.004616477272727273	0.7795251623376623	0.004616477272727273	0.006924715909090909	0.006924715909090909	0.014105902777777778	0.006924715909090909	0.06045386904761905	1.0	0.047451331967213115	0.5187922297297297	0.014105902777777778
lmorls	0.014105902777777778	0.004616477272727273	0.1265625	0.006924715909090909	0.047451331967213115	0.03614936440677966	0.10235595703125	0.03614936440677966	0.845703125	0.047451331967213115	1.0	0.15234375	0.2154575892857143
md_ss_bxt_gso	0.15991602822175735	0.004616477272727273	0.57890625	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.004616477272727273	0.006924715909090909	0.5187922297297297	0.15234375	1.0	0.004616477272727273
nrlmf	0.009935461956521738	0.004616477272727273	0.009935461956521738	0.004616477272727273	0.461205051369863	0.004616477272727273	0.2154575892857143	0.004616477272727273	0.006924715909090909	0.014105902777777778	0.2154575892857143	0.004616477272727273	1.0
