	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.02734866372643055	0.0028211805555555555
blmnii_svm	0.0028211805555555555	1.0	0.0028211805555555555	0.009293336638095765	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.5844563798862351	0.0028211805555555555
brf_lmo	0.0028211805555555555	0.0028211805555555555	1.0	0.021232467083448742	0.0028211805555555555	0.0028211805555555555	0.36965762867647056	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.2846003479400449	0.9015192509068538
bxt_gmo__nrlmf	0.0028211805555555555	0.009293336638095765	0.021232467083448742	1.0	0.4953966519302307	1.0	0.012910487288135594	1.0	0.5947666952054794	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.016269914297096164
bxt_gmosa_1k	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.4953966519302307	1.0	0.48794157608695654	0.0028211805555555555	0.8714618030452239	0.32060401119402987	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555
bxt_gmosa__nrlmf	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	1.0	0.48794157608695654	1.0	0.0028211805555555555	0.2846003479400449	0.008161272321428572	0.0028211805555555555	0.0028211805555555555	0.009293336638095765	0.0028211805555555555
bxt_gso_1k	0.0028211805555555555	0.0028211805555555555	0.36965762867647056	0.012910487288135594	0.0028211805555555555	0.0028211805555555555	1.0	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.1285400390625	0.0028211805555555555
bxt_gso__nrlmf	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	1.0	0.8714618030452239	0.2846003479400449	0.0028211805555555555	1.0	0.5576718148752514	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555
dnilmf	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.5947666952054794	0.32060401119402987	0.008161272321428572	0.0028211805555555555	0.5576718148752514	1.0	0.0028211805555555555	0.0028211805555555555	0.008161272321428572	0.0028211805555555555
dthybrid	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	1.0	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555
lmorls	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	1.0	0.033854166666666664	0.0028211805555555555
md_ss_bxt_gso	0.02734866372643055	0.5844563798862351	0.2846003479400449	0.0028211805555555555	0.0028211805555555555	0.009293336638095765	0.1285400390625	0.0028211805555555555	0.008161272321428572	0.0028211805555555555	0.033854166666666664	1.0	0.6587837837837838
nrlmf	0.0028211805555555555	0.0028211805555555555	0.9015192509068538	0.016269914297096164	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.0028211805555555555	0.6587837837837838	1.0
