	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	7.43865966796875e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
blmnii_svm	3.9672851562499995e-05	1.0	7.43865966796875e-05	0.0014834196671195652	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_lmo	3.9672851562499995e-05	7.43865966796875e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	0.3182523544520548	3.9672851562499995e-05	0.743865966796875	0.09145989216549295	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.0006651036879595588
bxt_gmo__nrlmf	3.9672851562499995e-05	0.0014834196671195652	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gmosa_1k	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05
bxt_gmosa__nrlmf	7.43865966796875e-05	3.9672851562499995e-05	0.3182523544520548	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	0.1263910929361979	0.8946704101562499	7.43865966796875e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.0018702915736607143
bxt_gso_1k	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05
bxt_gso__nrlmf	3.9672851562499995e-05	3.9672851562499995e-05	0.743865966796875	3.9672851562499995e-05	3.9672851562499995e-05	0.1263910929361979	3.9672851562499995e-05	1.0	0.0006651036879595588	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.0006651036879595588
dnilmf	3.9672851562499995e-05	3.9672851562499995e-05	0.09145989216549295	3.9672851562499995e-05	3.9672851562499995e-05	0.8946704101562499	3.9672851562499995e-05	0.0006651036879595588	1.0	7.43865966796875e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.0003662109375
dthybrid	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	7.43865966796875e-05	3.9672851562499995e-05	3.9672851562499995e-05	7.43865966796875e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
lmorls	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05
md_ss_bxt_gso	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05
nrlmf	3.9672851562499995e-05	3.9672851562499995e-05	0.0006651036879595588	3.9672851562499995e-05	3.9672851562499995e-05	0.0018702915736607143	3.9672851562499995e-05	0.0006651036879595588	0.0003662109375	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0
