	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	0.0003839308215725807	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05
blmnii_svm	4.104088092672414e-05	1.0	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05
brf_lmo	4.104088092672414e-05	4.104088092672414e-05	1.0	0.0025246360085227275	0.00120849609375	0.0689342601879223	0.00120849609375	0.3803338385247565	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	0.4637451171875	4.104088092672414e-05
bxt_gmo__nrlmf	4.104088092672414e-05	4.104088092672414e-05	0.0025246360085227275	1.0	4.104088092672414e-05	4.104088092672414e-05	7.934570312499999e-05	0.007318752915111941	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	0.012241908482142856	4.104088092672414e-05
bxt_gmosa_1k	4.104088092672414e-05	4.104088092672414e-05	0.00120849609375	4.104088092672414e-05	1.0	0.03140767415364583	0.06162878585188356	0.008751364315257353	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05
bxt_gmosa__nrlmf	4.104088092672414e-05	4.104088092672414e-05	0.0689342601879223	4.104088092672414e-05	0.03140767415364583	1.0	0.010383937669836956	0.26231689453125	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	0.014382805622799297	4.104088092672414e-05
bxt_gso_1k	4.104088092672414e-05	4.104088092672414e-05	0.00120849609375	7.934570312499999e-05	0.06162878585188356	0.010383937669836956	1.0	0.00019511238473360657	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05
bxt_gso__nrlmf	4.104088092672414e-05	4.104088092672414e-05	0.3803338385247565	0.007318752915111941	0.008751364315257353	0.26231689453125	0.00019511238473360657	1.0	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	0.357556794819079	4.104088092672414e-05
dnilmf	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	1.0	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	0.0009445917038690476
dthybrid	0.0003839308215725807	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	1.0	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05
lmorls	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	1.0	4.104088092672414e-05	4.104088092672414e-05
md_ss_bxt_gso	4.104088092672414e-05	4.104088092672414e-05	0.4637451171875	0.012241908482142856	4.104088092672414e-05	0.014382805622799297	4.104088092672414e-05	0.357556794819079	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	1.0	7.934570312499999e-05
nrlmf	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	4.104088092672414e-05	0.0009445917038690476	4.104088092672414e-05	4.104088092672414e-05	7.934570312499999e-05	1.0
