	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
blmnii_svm	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_lmo	3.9672851562499995e-05	3.9672851562499995e-05	1.0	0.04734655928938356	7.32421875e-05	0.0037405831473214285	0.0011551800896139705	0.04734655928938356	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.00010658378031716419	7.32421875e-05
bxt_gmo__nrlmf	3.9672851562499995e-05	3.9672851562499995e-05	0.04734655928938356	1.0	3.9672851562499995e-05	0.0689342601879223	3.9672851562499995e-05	0.08658203125	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gmosa_1k	3.9672851562499995e-05	3.9672851562499995e-05	7.32421875e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.6403816520393668	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	7.32421875e-05
bxt_gmosa__nrlmf	3.9672851562499995e-05	3.9672851562499995e-05	0.0037405831473214285	0.0689342601879223	3.9672851562499995e-05	1.0	0.00010658378031716419	0.23728541324013158	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	7.32421875e-05	3.9672851562499995e-05
bxt_gso_1k	3.9672851562499995e-05	3.9672851562499995e-05	0.0011551800896139705	3.9672851562499995e-05	3.9672851562499995e-05	0.00010658378031716419	1.0	7.32421875e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.005665953730193662	0.668548583984375
bxt_gso__nrlmf	3.9672851562499995e-05	3.9672851562499995e-05	0.04734655928938356	0.08658203125	3.9672851562499995e-05	0.23728541324013158	7.32421875e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
dnilmf	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.6403816520393668	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
dthybrid	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
lmorls	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05
md_ss_bxt_gso	3.9672851562499995e-05	3.9672851562499995e-05	0.00010658378031716419	3.9672851562499995e-05	3.9672851562499995e-05	7.32421875e-05	0.005665953730193662	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	0.003035835597826087
nrlmf	3.9672851562499995e-05	3.9672851562499995e-05	7.32421875e-05	3.9672851562499995e-05	7.32421875e-05	3.9672851562499995e-05	0.668548583984375	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.003035835597826087	1.0
