	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
blmnii_svm	3.4498131793478265e-05	1.0	0.0013831886085304054	0.4089910333806818	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	6.801060267857143e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
brf_lmo	3.4498131793478265e-05	0.0013831886085304054	1.0	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	0.0008151955800513699	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
bxt_gmo__nrlmf	3.4498131793478265e-05	0.4089910333806818	3.4498131793478265e-05	1.0	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
bxt_gmosa_1k	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	1.0	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
bxt_gmosa__nrlmf	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	1.0	3.4498131793478265e-05	0.0052931936163651315	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	0.0022216796875	0.00033060709635416663
bxt_gso_1k	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	1.0	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
bxt_gso__nrlmf	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	0.0052931936163651315	3.4498131793478265e-05	1.0	0.00016763176716549295	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
dnilmf	3.4498131793478265e-05	6.801060267857143e-05	0.0008151955800513699	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	0.00016763176716549295	1.0	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
dthybrid	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	1.0	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05
lmorls	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	1.0	3.4498131793478265e-05	3.4498131793478265e-05
md_ss_bxt_gso	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	0.0022216796875	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	1.0	0.781951904296875
nrlmf	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	0.00033060709635416663	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	3.4498131793478265e-05	0.781951904296875	1.0
