	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
blmnii_svm	3.3526353433098594e-05	1.0	0.0014021363976883562	0.433197021484375	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
brf_lmo	3.3526353433098594e-05	0.0014021363976883562	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.01142578125	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gmo__nrlmf	3.3526353433098594e-05	0.433197021484375	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gmosa_1k	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gmosa__nrlmf	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.00225170238597973	0.021670651126217532
bxt_gso_1k	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
bxt_gso__nrlmf	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	0.00033060709635416663	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
dnilmf	3.3526353433098594e-05	3.3526353433098594e-05	0.01142578125	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.00033060709635416663	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
dthybrid	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05
lmorls	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	3.3526353433098594e-05	3.3526353433098594e-05
md_ss_bxt_gso	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.00225170238597973	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	1.0	0.018729762027138157
nrlmf	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.021670651126217532	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	3.3526353433098594e-05	0.018729762027138157	1.0
