	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
blmnii_svm	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.009427522358141448	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
brf_lmo	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gmo__nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gmosa_1k	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.03397438742897727	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gmosa__nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gso_1k	3.173828125e-05	0.009427522358141448	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.104583740234375
bxt_gso__nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
dnilmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.03397438742897727	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
dthybrid	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05
lmorls	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05
md_ss_bxt_gso	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05
nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.104583740234375	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0
