	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
blmnii_svm	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.10594197062702922	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
brf_lmo	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gmo__nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	0.00043848941200657894	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gmosa_1k	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.00043848941200657894	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.899932861328125	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gmosa__nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gso_1k	3.173828125e-05	0.10594197062702922	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
bxt_gso__nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
dnilmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	0.899932861328125	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05
dthybrid	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05	3.173828125e-05
lmorls	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05	3.173828125e-05
md_ss_bxt_gso	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0	3.173828125e-05
nrlmf	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	3.173828125e-05	1.0
