	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.8590457540162852	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05
blmnii_svm	4.034527277542373e-05	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05
brf_lmo	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	1.0	0.005996114287631162	1.0	0.005996114287631162	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05
bxt_gmo__nrlmf	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05
bxt_gmosa_1k	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	1.0	0.005996114287631162	1.0	0.005996114287631162	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05
bxt_gmosa__nrlmf	4.034527277542373e-05	4.034527277542373e-05	0.005996114287631162	4.034527277542373e-05	0.005996114287631162	1.0	0.005996114287631162	0.926287464594844	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.005996114287631162	4.034527277542373e-05
bxt_gso_1k	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	1.0	0.005996114287631162	1.0	0.005996114287631162	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05
bxt_gso__nrlmf	4.034527277542373e-05	4.034527277542373e-05	0.005996114287631162	4.034527277542373e-05	0.005996114287631162	0.926287464594844	0.005996114287631162	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.005996114287631162	4.034527277542373e-05
dnilmf	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	0.05726689877717391	4.034527277542373e-05	0.0017059326171875
dthybrid	0.8590457540162852	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05
lmorls	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.05726689877717391	4.034527277542373e-05	1.0	4.034527277542373e-05	0.06427001953125
md_ss_bxt_gso	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	1.0	0.005996114287631162	1.0	0.005996114287631162	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05
nrlmf	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.0017059326171875	4.034527277542373e-05	0.06427001953125	4.034527277542373e-05	1.0
