	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.024905076667444032	9.521484374999999e-05	0.0012877417392418032	0.011195182800292969	4.8579001913265306e-05	0.028634464039522058	4.8579001913265306e-05	0.47594893606085525	4.8579001913265306e-05
blmnii_svm	4.8579001913265306e-05	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05
brf_lmo	4.8579001913265306e-05	4.8579001913265306e-05	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05
bxt_gmo__nrlmf	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05
bxt_gmosa_1k	0.024905076667444032	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	1.0	0.0012877417392418032	0.18736455211900685	0.36232421875	0.00042506626674107144	0.3139516469594595	4.8579001913265306e-05	0.0007665601827330509	4.8579001913265306e-05
bxt_gmosa__nrlmf	9.521484374999999e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.0012877417392418032	1.0	0.5618896484375	0.14054107666015625	0.05644880022321428	0.0005846525493421053	0.0002288818359375	4.8579001913265306e-05	4.8579001913265306e-05
bxt_gso_1k	0.0012877417392418032	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.18736455211900685	0.5618896484375	1.0	0.5018564199472403	0.024905076667444032	0.0007665601827330509	0.0002288818359375	0.0003143886350235849	4.8579001913265306e-05
bxt_gso__nrlmf	0.011195182800292969	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.36232421875	0.14054107666015625	0.5018564199472403	1.0	0.00042506626674107144	0.03277322520380435	4.8579001913265306e-05	0.007783435639880952	4.8579001913265306e-05
dnilmf	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.00042506626674107144	0.05644880022321428	0.024905076667444032	0.00042506626674107144	1.0	4.8579001913265306e-05	0.00337859122983871	4.8579001913265306e-05	0.00042506626674107144
dthybrid	0.028634464039522058	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.3139516469594595	0.0005846525493421053	0.0007665601827330509	0.03277322520380435	4.8579001913265306e-05	1.0	4.8579001913265306e-05	0.024905076667444032	4.8579001913265306e-05
lmorls	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.0002288818359375	0.0002288818359375	4.8579001913265306e-05	0.00337859122983871	4.8579001913265306e-05	1.0	4.8579001913265306e-05	0.14054107666015625
md_ss_bxt_gso	0.47594893606085525	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.0007665601827330509	4.8579001913265306e-05	0.0003143886350235849	0.007783435639880952	4.8579001913265306e-05	0.024905076667444032	4.8579001913265306e-05	1.0	4.8579001913265306e-05
nrlmf	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.00042506626674107144	4.8579001913265306e-05	0.14054107666015625	4.8579001913265306e-05	1.0
