	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.9672851562499995e-05	0.648807726408306	0.648807726408306	0.648807726408306	0.648807726408306	0.648807726408306	0.648807726408306	0.648807726408306	0.648807726408306	0.648807726408306	0.648807726408306	0.0001151792464717742
blmnii_svm	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
brf_lmo	0.648807726408306	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.061740875244140625	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gmo__nrlmf	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.556494140625	3.9672851562499995e-05	0.979949951171875	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gmosa_1k	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gmosa__nrlmf	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	0.0002644856770833333	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.9520866096793831	3.9672851562499995e-05
bxt_gso_1k	0.648807726408306	3.9672851562499995e-05	0.061740875244140625	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
bxt_gso__nrlmf	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.0002644856770833333	3.9672851562499995e-05	1.0	0.0001151792464717742	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
dnilmf	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	0.556494140625	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.0001151792464717742	1.0	3.9672851562499995e-05	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05
dthybrid	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05
lmorls	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	0.979949951171875	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.648807726408306	3.9672851562499995e-05	1.0	3.9672851562499995e-05	3.9672851562499995e-05
md_ss_bxt_gso	0.648807726408306	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	0.9520866096793831	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0	3.9672851562499995e-05
nrlmf	0.0001151792464717742	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	3.9672851562499995e-05	1.0
