	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.250662667410714e-05	0.0012877417392418032	0.08236083984374999	4.250662667410714e-05	0.018603515625	4.250662667410714e-05	0.025282426313920456	0.04431690889246324	4.250662667410714e-05	0.09018961588541666	4.250662667410714e-05	4.250662667410714e-05
blmnii_svm	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
brf_lmo	0.0012877417392418032	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	8.208176185344828e-05	4.250662667410714e-05	8.208176185344828e-05	4.250662667410714e-05	0.09018961588541666	4.250662667410714e-05	0.00012103581832627119	4.250662667410714e-05
bxt_gmo__nrlmf	0.08236083984374999	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.002687515751008065	0.06520146908967392	0.348388671875	4.250662667410714e-05	4.250662667410714e-05
bxt_gmosa_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	0.01338958740234375	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
bxt_gmosa__nrlmf	0.018603515625	4.250662667410714e-05	8.208176185344828e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	0.309765625	0.11023691538217906	0.33099686472039475	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
bxt_gso_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.01338958740234375	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
bxt_gso__nrlmf	0.025282426313920456	4.250662667410714e-05	8.208176185344828e-05	4.250662667410714e-05	4.250662667410714e-05	0.309765625	4.250662667410714e-05	1.0	0.03375153043376866	0.348388671875	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
dnilmf	0.04431690889246324	4.250662667410714e-05	4.250662667410714e-05	0.002687515751008065	4.250662667410714e-05	0.11023691538217906	4.250662667410714e-05	0.03375153043376866	1.0	0.11023691538217906	0.0001983642578125	4.250662667410714e-05	4.250662667410714e-05
dthybrid	4.250662667410714e-05	4.250662667410714e-05	0.09018961588541666	0.06520146908967392	4.250662667410714e-05	0.33099686472039475	4.250662667410714e-05	0.348388671875	0.11023691538217906	1.0	0.01338958740234375	4.250662667410714e-05	4.250662667410714e-05
lmorls	0.09018961588541666	4.250662667410714e-05	4.250662667410714e-05	0.348388671875	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.0001983642578125	0.01338958740234375	1.0	4.250662667410714e-05	4.250662667410714e-05
md_ss_bxt_gso	4.250662667410714e-05	4.250662667410714e-05	0.00012103581832627119	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05
nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0
