	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.6384434673576405	3.552792677238806e-05	3.552792677238806e-05	0.014382805622799297
blmnii_svm	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
brf_lmo	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
bxt_gmo__nrlmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.2555034686992695	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
bxt_gmosa_1k	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
bxt_gmosa__nrlmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	0.06987856512200342	6.801060267857143e-05	3.552792677238806e-05	3.552792677238806e-05	0.0984958957981419	3.552792677238806e-05
bxt_gso_1k	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05
bxt_gso__nrlmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.06987856512200342	3.552792677238806e-05	1.0	6.801060267857143e-05	3.552792677238806e-05	3.552792677238806e-05	0.12133544921875	3.552792677238806e-05
dnilmf	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.2555034686992695	3.552792677238806e-05	6.801060267857143e-05	3.552792677238806e-05	6.801060267857143e-05	1.0	3.552792677238806e-05	0.2555034686992695	6.801060267857143e-05	3.552792677238806e-05
dthybrid	0.6384434673576405	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05	0.019770304361979164
lmorls	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.2555034686992695	3.552792677238806e-05	1.0	3.552792677238806e-05	3.552792677238806e-05
md_ss_bxt_gso	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.0984958957981419	3.552792677238806e-05	0.12133544921875	6.801060267857143e-05	3.552792677238806e-05	3.552792677238806e-05	1.0	3.552792677238806e-05
nrlmf	0.014382805622799297	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	3.552792677238806e-05	0.019770304361979164	3.552792677238806e-05	3.552792677238806e-05	1.0
