	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.007314231178977272	0.0009417485694262943	6.103515625e-05	6.103515625e-05	6.103515625e-05
blmnii_svm	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05
brf_lmo	6.103515625e-05	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.00029754638671875	0.0004064048208841463	0.007314231178977272	0.648807726408306	6.103515625e-05	0.00347137451171875	6.103515625e-05
bxt_gmo__nrlmf	6.103515625e-05	6.103515625e-05	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.2695036587649829	0.004189453125	6.103515625e-05	6.103515625e-05	0.0010050455729166668
bxt_gmosa_1k	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	1.0	0.19822626528532608	0.28927942224451014	0.1851715543376866	0.02015380859375	0.19822626528532608	0.11043479225852273	0.00217778631981383	6.103515625e-05
bxt_gmosa__nrlmf	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.19822626528532608	1.0	0.860260009765625	0.22904459635416666	0.007314231178977272	0.21484549386160715	0.012143927105402543	0.0005535746729651163	6.103515625e-05
bxt_gso_1k	6.103515625e-05	6.103515625e-05	0.00029754638671875	6.103515625e-05	0.28927942224451014	0.860260009765625	1.0	0.07847900390625	0.008602744654605263	0.22904459635416666	0.041524251302083336	0.004189453125	6.103515625e-05
bxt_gso__nrlmf	6.103515625e-05	6.103515625e-05	0.0004064048208841463	6.103515625e-05	0.1851715543376866	0.22904459635416666	0.07847900390625	1.0	0.007314231178977272	0.41989746093749997	0.008602744654605263	0.041524251302083336	6.103515625e-05
dnilmf	0.007314231178977272	6.103515625e-05	0.007314231178977272	0.2695036587649829	0.02015380859375	0.007314231178977272	0.008602744654605263	0.007314231178977272	1.0	0.012143927105402543	0.07847900390625	0.007314231178977272	0.00217778631981383
dthybrid	0.0009417485694262943	6.103515625e-05	0.648807726408306	0.004189453125	0.19822626528532608	0.21484549386160715	0.22904459635416666	0.41989746093749997	0.012143927105402543	1.0	0.041524251302083336	0.6772310331270291	6.103515625e-05
lmorls	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.11043479225852273	0.012143927105402543	0.041524251302083336	0.008602744654605263	0.07847900390625	0.041524251302083336	1.0	0.0005535746729651163	6.103515625e-05
md_ss_bxt_gso	6.103515625e-05	6.103515625e-05	0.00347137451171875	6.103515625e-05	0.00217778631981383	0.0005535746729651163	0.004189453125	0.041524251302083336	0.007314231178977272	0.6772310331270291	0.0005535746729651163	1.0	6.103515625e-05
nrlmf	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.0010050455729166668	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.00217778631981383	6.103515625e-05	6.103515625e-05	6.103515625e-05	1.0
