	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	0.004675728934151786	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05
blmnii_svm	5.667550223214286e-05	1.0	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05
brf_lmo	5.667550223214286e-05	5.667550223214286e-05	1.0	5.667550223214286e-05	0.00024289500956632654	0.08097040085565475	0.0014821178508254717	0.28512705927309784	0.7631281802528783	5.667550223214286e-05	0.0011444091796875	0.05107711533368644	0.675471057630565
bxt_gmo__nrlmf	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	1.0	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	0.00010349439538043478	5.667550223214286e-05	0.73394775390625	5.667550223214286e-05	5.667550223214286e-05
bxt_gmosa_1k	5.667550223214286e-05	5.667550223214286e-05	0.00024289500956632654	5.667550223214286e-05	1.0	0.09008216857910156	0.0030295632102272725	0.0008868049172794118	0.06585693359375	5.667550223214286e-05	0.00024289500956632654	5.667550223214286e-05	0.11043479225852273
bxt_gmosa__nrlmf	5.667550223214286e-05	5.667550223214286e-05	0.08097040085565475	5.667550223214286e-05	0.09008216857910156	1.0	0.860260009765625	0.007057591488486842	0.11043479225852273	5.667550223214286e-05	0.00010349439538043478	0.00047607421874999993	0.08097040085565475
bxt_gso_1k	5.667550223214286e-05	5.667550223214286e-05	0.0014821178508254717	5.667550223214286e-05	0.0030295632102272725	0.860260009765625	1.0	0.03898883688038793	0.73394775390625	5.667550223214286e-05	0.00010349439538043478	5.667550223214286e-05	0.6463038126627604
bxt_gso__nrlmf	5.667550223214286e-05	5.667550223214286e-05	0.28512705927309784	5.667550223214286e-05	0.0008868049172794118	0.007057591488486842	0.03898883688038793	1.0	0.3593680245535714	5.667550223214286e-05	0.00010349439538043478	0.07375248142930328	0.8315532733867694
dnilmf	5.667550223214286e-05	5.667550223214286e-05	0.7631281802528783	0.00010349439538043478	0.06585693359375	0.11043479225852273	0.73394775390625	0.3593680245535714	1.0	5.667550223214286e-05	0.00015193858045212767	0.28512705927309784	0.2461374766791045
dthybrid	0.004675728934151786	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05	1.0	5.667550223214286e-05	5.667550223214286e-05	5.667550223214286e-05
lmorls	5.667550223214286e-05	5.667550223214286e-05	0.0011444091796875	0.73394775390625	0.00024289500956632654	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00015193858045212767	5.667550223214286e-05	1.0	0.001895480685763889	5.667550223214286e-05
md_ss_bxt_gso	5.667550223214286e-05	5.667550223214286e-05	0.05107711533368644	5.667550223214286e-05	5.667550223214286e-05	0.00047607421874999993	5.667550223214286e-05	0.07375248142930328	0.28512705927309784	5.667550223214286e-05	0.001895480685763889	1.0	0.6172872194102113
nrlmf	5.667550223214286e-05	5.667550223214286e-05	0.675471057630565	5.667550223214286e-05	0.11043479225852273	0.08097040085565475	0.6463038126627604	0.8315532733867694	0.2461374766791045	5.667550223214286e-05	5.667550223214286e-05	0.6172872194102113	1.0
