	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.6403816520393668	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05
blmnii_svm	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.11329905192057291	4.57763671875e-05	4.57763671875e-05
brf_lmo	4.57763671875e-05	4.57763671875e-05	1.0	4.57763671875e-05	0.0007537841796875	0.008881981693097016	0.00012528268914473685	0.13674266918285474	0.037371826171875	4.57763671875e-05	0.0025634765625	4.57763671875e-05	0.02821947180706522
bxt_gmo__nrlmf	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.13674266918285474	4.57763671875e-05	4.57763671875e-05
bxt_gmosa_1k	4.57763671875e-05	4.57763671875e-05	0.0007537841796875	4.57763671875e-05	1.0	0.012601964613970588	0.33099686472039475	0.0012669717111895161	0.00012528268914473685	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.00396728515625
bxt_gmosa__nrlmf	4.57763671875e-05	4.57763671875e-05	0.008881981693097016	4.57763671875e-05	0.012601964613970588	1.0	0.0015993118286132812	0.10265769421214789	8.816189236111111e-05	4.57763671875e-05	0.00012528268914473685	4.57763671875e-05	1.0
bxt_gso_1k	4.57763671875e-05	4.57763671875e-05	0.00012528268914473685	4.57763671875e-05	0.33099686472039475	0.0015993118286132812	1.0	0.00020520440463362067	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05
bxt_gso__nrlmf	4.57763671875e-05	4.57763671875e-05	0.13674266918285474	4.57763671875e-05	0.0012669717111895161	0.10265769421214789	0.00020520440463362067	1.0	0.0012669717111895161	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.2005224609375
dnilmf	4.57763671875e-05	4.57763671875e-05	0.037371826171875	4.57763671875e-05	0.00012528268914473685	8.816189236111111e-05	4.57763671875e-05	0.0012669717111895161	1.0	4.57763671875e-05	0.0015993118286132812	4.57763671875e-05	0.0005648338188559322
dthybrid	0.6403816520393668	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05
lmorls	4.57763671875e-05	0.11329905192057291	0.0025634765625	0.13674266918285474	4.57763671875e-05	0.00012528268914473685	4.57763671875e-05	4.57763671875e-05	0.0015993118286132812	4.57763671875e-05	1.0	4.57763671875e-05	8.816189236111111e-05
md_ss_bxt_gso	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	4.57763671875e-05
nrlmf	4.57763671875e-05	4.57763671875e-05	0.02821947180706522	4.57763671875e-05	0.00396728515625	1.0	4.57763671875e-05	0.2005224609375	0.0005648338188559322	4.57763671875e-05	8.816189236111111e-05	4.57763671875e-05	1.0
