	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	0.33994272592905406	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05
blmnii_svm	5.409934303977273e-05	1.0	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05
brf_lmo	5.409934303977273e-05	5.409934303977273e-05	1.0	0.00010129238696808512	0.0004857900191326531	0.003433977971311475	0.0011228165536556604	0.0017059326171875	0.06616031422334559	5.409934303977273e-05	0.0017059326171875	0.0008697509765625	5.409934303977273e-05
bxt_gmo__nrlmf	5.409934303977273e-05	5.409934303977273e-05	0.00010129238696808512	1.0	0.648807726408306	5.409934303977273e-05	0.8315532733867694	0.00010129238696808512	0.00010129238696808512	5.409934303977273e-05	5.409934303977273e-05	0.41989746093749997	5.409934303977273e-05
bxt_gmosa_1k	5.409934303977273e-05	5.409934303977273e-05	0.0004857900191326531	0.648807726408306	1.0	0.0017059326171875	5.409934303977273e-05	0.01595592498779297	0.025671386718749998	5.409934303977273e-05	0.0017059326171875	0.0008697509765625	5.409934303977273e-05
bxt_gmosa__nrlmf	5.409934303977273e-05	5.409934303977273e-05	0.003433977971311475	5.409934303977273e-05	0.0017059326171875	1.0	0.009445917038690476	0.009445917038690476	0.899932861328125	5.409934303977273e-05	0.0017059326171875	0.029502175071022728	5.409934303977273e-05
bxt_gso_1k	5.409934303977273e-05	5.409934303977273e-05	0.0011228165536556604	0.8315532733867694	5.409934303977273e-05	0.009445917038690476	1.0	0.2088775634765625	0.0941109035326087	5.409934303977273e-05	0.0017059326171875	0.06616031422334559	5.409934303977273e-05
bxt_gso__nrlmf	5.409934303977273e-05	5.409934303977273e-05	0.0017059326171875	0.00010129238696808512	0.01595592498779297	0.009445917038690476	0.2088775634765625	1.0	0.10412423270089285	5.409934303977273e-05	0.0008697509765625	0.3182523544520548	5.409934303977273e-05
dnilmf	5.409934303977273e-05	5.409934303977273e-05	0.06616031422334559	0.00010129238696808512	0.025671386718749998	0.899932861328125	0.0941109035326087	0.10412423270089285	1.0	5.409934303977273e-05	0.000247955322265625	0.15804323008362675	5.409934303977273e-05
dthybrid	0.33994272592905406	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	1.0	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05
lmorls	5.409934303977273e-05	5.409934303977273e-05	0.0017059326171875	5.409934303977273e-05	0.0017059326171875	0.0017059326171875	0.0017059326171875	0.0008697509765625	0.000247955322265625	5.409934303977273e-05	1.0	0.0017059326171875	5.409934303977273e-05
md_ss_bxt_gso	5.409934303977273e-05	5.409934303977273e-05	0.0008697509765625	0.41989746093749997	0.0008697509765625	0.029502175071022728	0.06616031422334559	0.3182523544520548	0.15804323008362675	5.409934303977273e-05	0.0017059326171875	1.0	5.409934303977273e-05
nrlmf	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	5.409934303977273e-05	1.0
