	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	9.918212890625e-05	0.00013224283854166666	9.918212890625e-05	0.011745765560963115	0.00013224283854166666	0.001571044921875	0.00013224283854166666	0.00013224283854166666	0.0029232627467105266	0.0007405598958333334	0.011745765560963115	0.35430650308098594
blmnii_svm	9.918212890625e-05	1.0	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05
brf_lmo	0.00013224283854166666	9.918212890625e-05	1.0	9.918212890625e-05	0.005622600686961207	0.584365234375	0.011745765560963115	0.05897635844216418	0.00013224283854166666	0.00238037109375	0.039636785333806816	0.0004064048208841463	0.0005667550223214286
bxt_gmo__nrlmf	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	1.0	9.918212890625e-05	0.00013224283854166666	9.918212890625e-05	0.0007405598958333334	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05	9.918212890625e-05
bxt_gmosa_1k	0.011745765560963115	9.918212890625e-05	0.005622600686961207	9.918212890625e-05	1.0	0.00013224283854166666	0.3722509096746575	0.00013224283854166666	0.00013224283854166666	0.25762416294642854	0.00238037109375	0.781951904296875	0.0009230010363520409
bxt_gmosa__nrlmf	0.00013224283854166666	9.918212890625e-05	0.584365234375	0.00013224283854166666	0.00013224283854166666	1.0	0.00013224283854166666	0.0347900390625	0.21795919667119565	0.0009230010363520409	0.6861419677734375	9.918212890625e-05	0.00030517578125
bxt_gso_1k	0.001571044921875	9.918212890625e-05	0.011745765560963115	9.918212890625e-05	0.3722509096746575	0.00013224283854166666	1.0	0.00013224283854166666	0.00013224283854166666	0.18244844324448528	0.013602120535714286	0.013602120535714286	0.0009230010363520409
bxt_gso__nrlmf	0.00013224283854166666	9.918212890625e-05	0.05897635844216418	0.0007405598958333334	0.00013224283854166666	0.0347900390625	0.00013224283854166666	1.0	0.781951904296875	0.0009230010363520409	0.5567173313450169	9.918212890625e-05	0.00030517578125
dnilmf	0.00013224283854166666	9.918212890625e-05	0.00013224283854166666	9.918212890625e-05	0.00013224283854166666	0.21795919667119565	0.00013224283854166666	0.781951904296875	1.0	0.0004064048208841463	0.00238037109375	9.918212890625e-05	0.00030517578125
dthybrid	0.0029232627467105266	9.918212890625e-05	0.00238037109375	9.918212890625e-05	0.25762416294642854	0.0009230010363520409	0.18244844324448528	0.0009230010363520409	0.0004064048208841463	1.0	0.0029232627467105266	0.3722509096746575	0.030424118041992188
lmorls	0.0007405598958333334	9.918212890625e-05	0.039636785333806816	9.918212890625e-05	0.00238037109375	0.6861419677734375	0.013602120535714286	0.5567173313450169	0.00238037109375	0.0029232627467105266	1.0	0.0019683837890625	0.0007405598958333334
md_ss_bxt_gso	0.011745765560963115	9.918212890625e-05	0.0004064048208841463	9.918212890625e-05	0.781951904296875	9.918212890625e-05	0.013602120535714286	9.918212890625e-05	9.918212890625e-05	0.3722509096746575	0.0019683837890625	1.0	0.0019683837890625
nrlmf	0.35430650308098594	9.918212890625e-05	0.0005667550223214286	9.918212890625e-05	0.0009230010363520409	0.00030517578125	0.0009230010363520409	0.00030517578125	0.00030517578125	0.030424118041992188	0.0007405598958333334	0.0019683837890625	1.0
