	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.33099686472039475	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
blmnii_svm	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
brf_lmo	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.33099686472039475	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.11329905192057291
bxt_gmo__nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.00091552734375	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.0001983642578125
bxt_gmosa_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	0.33099686472039475	0.4089910333806818	0.04244436344630282	4.250662667410714e-05	4.250662667410714e-05	0.010693905958488807	0.012601964613970588	0.0007178896949404761
bxt_gmosa__nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.33099686472039475	1.0	0.2259069991438356	0.017525050951086956	4.250662667410714e-05	4.250662667410714e-05	8.208176185344828e-05	0.023837716238839284	0.0007178896949404761
bxt_gso_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.4089910333806818	0.2259069991438356	1.0	0.00012103581832627119	4.250662667410714e-05	4.250662667410714e-05	0.00091552734375	4.250662667410714e-05	8.208176185344828e-05
bxt_gso__nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.04244436344630282	0.017525050951086956	0.00012103581832627119	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.743560791015625	0.0007178896949404761
dnilmf	4.250662667410714e-05	4.250662667410714e-05	0.33099686472039475	0.00091552734375	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
dthybrid	0.33099686472039475	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
lmorls	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.010693905958488807	8.208176185344828e-05	0.00091552734375	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05
md_ss_bxt_gso	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.012601964613970588	0.023837716238839284	4.250662667410714e-05	0.743560791015625	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	0.001983642578125
nrlmf	4.250662667410714e-05	4.250662667410714e-05	0.11329905192057291	0.0001983642578125	0.0007178896949404761	0.0007178896949404761	8.208176185344828e-05	0.0007178896949404761	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.001983642578125	1.0
