	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.4955084813784247	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05
blmnii_svm	4.8579001913265306e-05	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05
brf_lmo	4.8579001913265306e-05	4.8579001913265306e-05	1.0	0.8714322176846591	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05
bxt_gmo__nrlmf	4.8579001913265306e-05	4.8579001913265306e-05	0.8714322176846591	1.0	8.655894886363635e-05	4.8579001913265306e-05	8.655894886363635e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.018321644176136364	4.8579001913265306e-05
bxt_gmosa_1k	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	8.655894886363635e-05	1.0	0.1798042629076087	0.1199637020335478	0.802529585988898	0.0026035308837890625	4.8579001913265306e-05	0.00020520440463362067	0.00012751988002232144	1.0
bxt_gmosa__nrlmf	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.1798042629076087	1.0	0.25762416294642854	0.05158654967350747	0.0007537841796875	4.8579001913265306e-05	8.655894886363635e-05	4.8579001913265306e-05	0.35430650308098594
bxt_gso_1k	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	8.655894886363635e-05	0.1199637020335478	0.25762416294642854	1.0	0.4373931884765625	0.0012669717111895161	4.8579001913265306e-05	0.00020520440463362067	8.655894886363635e-05	0.802529585988898
bxt_gso__nrlmf	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.802529585988898	0.05158654967350747	0.4373931884765625	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.0016246977306547618	0.5567173313450169
dnilmf	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.0026035308837890625	0.0007537841796875	0.0012669717111895161	4.8579001913265306e-05	1.0	4.8579001913265306e-05	0.0075439453125	8.655894886363635e-05	0.0007537841796875
dthybrid	0.4955084813784247	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	1.0	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05
lmorls	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.00020520440463362067	8.655894886363635e-05	0.00020520440463362067	4.8579001913265306e-05	0.0075439453125	4.8579001913265306e-05	1.0	4.8579001913265306e-05	8.655894886363635e-05
md_ss_bxt_gso	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	0.018321644176136364	0.00012751988002232144	4.8579001913265306e-05	8.655894886363635e-05	0.0016246977306547618	8.655894886363635e-05	4.8579001913265306e-05	4.8579001913265306e-05	1.0	0.0012669717111895161
nrlmf	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	4.8579001913265306e-05	1.0	0.35430650308098594	0.802529585988898	0.5567173313450169	0.0007537841796875	4.8579001913265306e-05	8.655894886363635e-05	0.0012669717111895161	1.0
