	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.792107123833198	0.00019196541078629034	4.9591064453125e-05	4.9591064453125e-05
blmnii_svm	4.9591064453125e-05	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
brf_lmo	4.9591064453125e-05	4.9591064453125e-05	1.0	0.4255717509501689	4.9591064453125e-05	0.00019196541078629034	4.9591064453125e-05	0.00026035308837890625	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	8.816189236111111e-05
bxt_gmo__nrlmf	4.9591064453125e-05	4.9591064453125e-05	0.4255717509501689	1.0	4.9591064453125e-05	0.00019196541078629034	0.00012751988002232144	0.0003662109375	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.00019196541078629034
bxt_gmosa_1k	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0	4.9591064453125e-05	0.007106615149456522	8.816189236111111e-05	0.00019196541078629034	4.9591064453125e-05	0.0812008280149648	0.0008881981693097015	8.816189236111111e-05
bxt_gmosa__nrlmf	4.9591064453125e-05	4.9591064453125e-05	0.00019196541078629034	0.00019196541078629034	4.9591064453125e-05	1.0	0.0005049272017045455	0.979949951171875	4.9591064453125e-05	4.9591064453125e-05	8.816189236111111e-05	4.9591064453125e-05	0.65745849609375
bxt_gso_1k	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.00012751988002232144	0.007106615149456522	0.0005049272017045455	1.0	0.00026035308837890625	8.816189236111111e-05	4.9591064453125e-05	0.00012751988002232144	4.9591064453125e-05	0.0019253001493566176
bxt_gso__nrlmf	4.9591064453125e-05	4.9591064453125e-05	0.00026035308837890625	0.0003662109375	8.816189236111111e-05	0.979949951171875	0.00026035308837890625	1.0	4.9591064453125e-05	4.9591064453125e-05	8.816189236111111e-05	4.9591064453125e-05	0.7242905466180098
dnilmf	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.00019196541078629034	4.9591064453125e-05	8.816189236111111e-05	4.9591064453125e-05	1.0	4.9591064453125e-05	0.06427001953125	0.1699519745291096	4.9591064453125e-05
dthybrid	0.792107123833198	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	1.0	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05
lmorls	0.00019196541078629034	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.0812008280149648	8.816189236111111e-05	0.00012751988002232144	8.816189236111111e-05	0.06427001953125	4.9591064453125e-05	1.0	0.15584818522135416	0.00019196541078629034
md_ss_bxt_gso	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.0008881981693097015	4.9591064453125e-05	4.9591064453125e-05	4.9591064453125e-05	0.1699519745291096	4.9591064453125e-05	0.15584818522135416	1.0	4.9591064453125e-05
nrlmf	4.9591064453125e-05	4.9591064453125e-05	8.816189236111111e-05	0.00019196541078629034	8.816189236111111e-05	0.65745849609375	0.0019253001493566176	0.7242905466180098	4.9591064453125e-05	4.9591064453125e-05	0.00019196541078629034	4.9591064453125e-05	1.0
