	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.27428635147748576	3.662109375e-05	3.662109375e-05	0.01142578125
blmnii_svm	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
brf_lmo	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	0.00024148692255434784	3.662109375e-05	7.105585354477612e-05	0.002869488441780822	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
bxt_gmo__nrlmf	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.00047607421875	3.662109375e-05	3.662109375e-05
bxt_gmosa_1k	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05	0.0005836188317571401	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	7.105585354477612e-05	3.662109375e-05
bxt_gmosa__nrlmf	3.662109375e-05	3.662109375e-05	0.00024148692255434784	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	0.14764564915707237	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
bxt_gso_1k	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.0005836188317571401	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.632171630859375	3.662109375e-05
bxt_gso__nrlmf	3.662109375e-05	3.662109375e-05	7.105585354477612e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	0.009682320259712838	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05
dnilmf	3.662109375e-05	3.662109375e-05	0.002869488441780822	3.662109375e-05	3.662109375e-05	0.14764564915707237	3.662109375e-05	0.009682320259712838	1.0	3.662109375e-05	0.00017502728630514706	3.662109375e-05	3.662109375e-05
dthybrid	0.27428635147748576	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05	0.0023142496744791665
lmorls	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.00047607421875	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.00017502728630514706	3.662109375e-05	1.0	3.662109375e-05	3.662109375e-05
md_ss_bxt_gso	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	7.105585354477612e-05	3.662109375e-05	0.632171630859375	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	1.0	3.662109375e-05
nrlmf	0.01142578125	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	3.662109375e-05	0.0023142496744791665	3.662109375e-05	3.662109375e-05	1.0
