	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	0.0021397447348531417	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05
blmnii_svm	6.612141927083333e-05	1.0	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05
brf_lmo	6.612141927083333e-05	6.612141927083333e-05	1.0	0.04756414240056818	0.036738557635613206	0.4628680503531678	0.14444696335565477	0.17532920837402344	0.0001220703125	6.612141927083333e-05	0.4888124208192568	0.32721720950704225	0.3058096749441964
bxt_gmo__nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.04756414240056818	1.0	0.0018267964207848836	0.28932010426240806	0.00693852850731383	0.37742106119791663	0.0014168875558035715	6.612141927083333e-05	0.00693852850731383	0.041876898871527776	0.11948682441086066
bxt_gmosa_1k	6.612141927083333e-05	6.612141927083333e-05	0.036738557635613206	0.0018267964207848836	1.0	0.01239776611328125	0.14444696335565477	0.0014168875558035715	6.612141927083333e-05	6.612141927083333e-05	0.036738557635613206	0.024184570312499997	0.899932861328125
bxt_gmosa__nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.4628680503531678	0.28932010426240806	0.01239776611328125	1.0	0.036738557635613206	0.28932010426240806	0.0001220703125	6.612141927083333e-05	0.5766762181332237	0.07892809416118421	0.11948682441086066
bxt_gso_1k	6.612141927083333e-05	6.612141927083333e-05	0.14444696335565477	0.00693852850731383	0.14444696335565477	0.036738557635613206	1.0	0.003702799479166667	6.612141927083333e-05	6.612141927083333e-05	0.11006190413135594	0.07892809416118421	0.7532174246651785
bxt_gso__nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.17532920837402344	0.37742106119791663	0.0014168875558035715	0.28932010426240806	0.003702799479166667	1.0	0.0001220703125	6.612141927083333e-05	0.18797718394886365	0.024184570312499997	0.09940101360452586
dnilmf	6.612141927083333e-05	6.612141927083333e-05	0.0001220703125	0.0014168875558035715	6.612141927083333e-05	0.0001220703125	6.612141927083333e-05	0.0001220703125	1.0	6.612141927083333e-05	0.0011306762695312501	6.612141927083333e-05	6.612141927083333e-05
dthybrid	0.0021397447348531417	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	1.0	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05
lmorls	6.612141927083333e-05	6.612141927083333e-05	0.4888124208192568	0.00693852850731383	0.036738557635613206	0.5766762181332237	0.11006190413135594	0.18797718394886365	0.0011306762695312501	6.612141927083333e-05	1.0	0.3058096749441964	0.18797718394886365
md_ss_bxt_gso	6.612141927083333e-05	6.612141927083333e-05	0.32721720950704225	0.041876898871527776	0.024184570312499997	0.07892809416118421	0.07892809416118421	0.024184570312499997	6.612141927083333e-05	6.612141927083333e-05	0.3058096749441964	1.0	0.54929443359375
nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.3058096749441964	0.11948682441086066	0.899932861328125	0.11948682441086066	0.7532174246651785	0.09940101360452586	6.612141927083333e-05	6.612141927083333e-05	0.18797718394886365	0.54929443359375	1.0
