	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	5.8057831554878046e-05	9.918212890625e-05	9.918212890625e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	0.0013781095805921054	0.0941109035326087	5.8057831554878046e-05	5.8057831554878046e-05	9.918212890625e-05
blmnii_svm	5.8057831554878046e-05	1.0	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05
brf_lmo	9.918212890625e-05	5.8057831554878046e-05	1.0	0.781951904296875	5.8057831554878046e-05	9.918212890625e-05	0.0006059126420454545	0.00044912662146226413	0.00396728515625	5.8057831554878046e-05	5.8057831554878046e-05	0.604336032619724	0.10412423270089285
bxt_gmo__nrlmf	9.918212890625e-05	5.8057831554878046e-05	0.781951904296875	1.0	9.918212890625e-05	5.8057831554878046e-05	5.8057831554878046e-05	0.0017059326171875	0.0026448567708333335	5.8057831554878046e-05	5.8057831554878046e-05	0.33994272592905406	0.1699519745291096
bxt_gmosa_1k	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	9.918212890625e-05	1.0	0.07501669491038603	0.0017059326171875	0.00044912662146226413	5.8057831554878046e-05	5.8057831554878046e-05	0.00322265625	5.8057831554878046e-05	0.0008076259068080357
bxt_gmosa__nrlmf	5.8057831554878046e-05	5.8057831554878046e-05	9.918212890625e-05	5.8057831554878046e-05	0.07501669491038603	1.0	0.02124570020988806	0.0006059126420454545	5.8057831554878046e-05	5.8057831554878046e-05	9.918212890625e-05	5.8057831554878046e-05	0.0026448567708333335
bxt_gso_1k	5.8057831554878046e-05	5.8057831554878046e-05	0.0006059126420454545	5.8057831554878046e-05	0.0017059326171875	0.02124570020988806	1.0	0.5084597938939145	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	0.00023803710937499997	0.1263910929361979
bxt_gso__nrlmf	5.8057831554878046e-05	5.8057831554878046e-05	0.00044912662146226413	0.0017059326171875	0.00044912662146226413	0.0006059126420454545	0.5084597938939145	1.0	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	0.00044912662146226413	0.36232421875
dnilmf	0.0013781095805921054	5.8057831554878046e-05	0.00396728515625	0.0026448567708333335	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	1.0	0.00322265625	5.8057831554878046e-05	0.0017059326171875	0.0021462362320696722
dthybrid	0.0941109035326087	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	0.00322265625	1.0	5.8057831554878046e-05	5.8057831554878046e-05	9.918212890625e-05
lmorls	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	0.00322265625	9.918212890625e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	5.8057831554878046e-05	1.0	5.8057831554878046e-05	0.00023803710937499997
md_ss_bxt_gso	5.8057831554878046e-05	5.8057831554878046e-05	0.604336032619724	0.33994272592905406	5.8057831554878046e-05	5.8057831554878046e-05	0.00023803710937499997	0.00044912662146226413	0.0017059326171875	5.8057831554878046e-05	5.8057831554878046e-05	1.0	0.1263910929361979
nrlmf	9.918212890625e-05	5.8057831554878046e-05	0.10412423270089285	0.1699519745291096	0.0008076259068080357	0.0026448567708333335	0.1263910929361979	0.36232421875	0.0021462362320696722	9.918212890625e-05	0.00023803710937499997	0.1263910929361979	1.0
