	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.2541395037600895	6.103515625e-05	6.103515625e-05	6.103515625e-05
blmnii_svm	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05
brf_lmo	6.103515625e-05	6.103515625e-05	1.0	0.00015193858045212767	0.000247955322265625	0.6463038126627604	0.0021462362320696722	0.8315532733867694	0.0314055412046371	6.103515625e-05	0.7046863452808277	0.0013092041015625	0.00010819868607954545
bxt_gmo__nrlmf	6.103515625e-05	6.103515625e-05	0.00015193858045212767	1.0	0.00010819868607954545	6.103515625e-05	0.00015193858045212767	0.00010819868607954545	0.00015193858045212767	6.103515625e-05	6.103515625e-05	0.00010819868607954545	6.103515625e-05
bxt_gmosa_1k	6.103515625e-05	6.103515625e-05	0.000247955322265625	0.00010819868607954545	1.0	0.000333251953125	0.054004669189453125	0.00044912662146226413	0.07728992808948863	6.103515625e-05	0.000333251953125	0.2810538155691964	0.0006059126420454545
bxt_gmosa__nrlmf	6.103515625e-05	6.103515625e-05	0.6463038126627604	6.103515625e-05	0.000333251953125	1.0	0.0007797767376077585	0.7631281802528783	0.12175420504897388	6.103515625e-05	0.860260009765625	0.00010819868607954545	6.103515625e-05
bxt_gso_1k	6.103515625e-05	6.103515625e-05	0.0021462362320696722	0.00015193858045212767	0.054004669189453125	0.0007797767376077585	1.0	0.0007797767376077585	0.7046863452808277	6.103515625e-05	0.0013092041015625	0.22116447897518382	0.0006059126420454545
bxt_gso__nrlmf	6.103515625e-05	6.103515625e-05	0.8315532733867694	0.00010819868607954545	0.00044912662146226413	0.7631281802528783	0.0007797767376077585	1.0	0.054004669189453125	6.103515625e-05	0.7631281802528783	0.00044912662146226413	6.103515625e-05
dnilmf	6.103515625e-05	6.103515625e-05	0.0314055412046371	0.00015193858045212767	0.07728992808948863	0.12175420504897388	0.7046863452808277	0.054004669189453125	1.0	6.103515625e-05	0.0692138671875	0.412474726287412	6.103515625e-05
dthybrid	0.2541395037600895	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	1.0	6.103515625e-05	6.103515625e-05	6.103515625e-05
lmorls	6.103515625e-05	6.103515625e-05	0.7046863452808277	6.103515625e-05	0.000333251953125	0.860260009765625	0.0013092041015625	0.7631281802528783	0.0692138671875	6.103515625e-05	1.0	0.00044912662146226413	6.103515625e-05
md_ss_bxt_gso	6.103515625e-05	6.103515625e-05	0.0013092041015625	0.00010819868607954545	0.2810538155691964	0.00010819868607954545	0.22116447897518382	0.00044912662146226413	0.412474726287412	6.103515625e-05	0.00044912662146226413	1.0	0.0007797767376077585
nrlmf	6.103515625e-05	6.103515625e-05	0.00010819868607954545	6.103515625e-05	0.0006059126420454545	6.103515625e-05	0.0006059126420454545	6.103515625e-05	6.103515625e-05	6.103515625e-05	6.103515625e-05	0.0007797767376077585	1.0
