	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	0.013799718908361487	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
blmnii_svm	3.500545726102941e-05	1.0	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
brf_lmo	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05	3.500545726102941e-05	0.005510722121147261	3.500545726102941e-05	0.004529317220052083	6.899626358695653e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
bxt_gmo__nrlmf	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	0.00017002650669642856	3.500545726102941e-05	3.500545726102941e-05
bxt_gmosa_1k	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05	1.0	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
bxt_gmosa__nrlmf	3.500545726102941e-05	3.500545726102941e-05	0.005510722121147261	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05	0.47594893606085525	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
bxt_gso_1k	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05	1.0	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
bxt_gso__nrlmf	3.500545726102941e-05	3.500545726102941e-05	0.004529317220052083	3.500545726102941e-05	3.500545726102941e-05	0.47594893606085525	3.500545726102941e-05	1.0	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
dnilmf	3.500545726102941e-05	3.500545726102941e-05	6.899626358695653e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05	0.7532174246651785	3.500545726102941e-05	0.003687898877640845
dthybrid	0.013799718908361487	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05
lmorls	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	0.00017002650669642856	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	0.7532174246651785	3.500545726102941e-05	1.0	3.500545726102941e-05	0.33541015625
md_ss_bxt_gso	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	1.0	3.500545726102941e-05
nrlmf	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	3.500545726102941e-05	0.003687898877640845	3.500545726102941e-05	0.33541015625	3.500545726102941e-05	1.0
