	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
blmnii_svm	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
brf_lmo	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.00120849609375	3.9022476946721314e-05	0.0031264575559701493	3.9022476946721314e-05	7.678616431451613e-05
bxt_gmo__nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.00479574764476103	3.9022476946721314e-05	0.010383937669836956	3.9022476946721314e-05	0.4089910333806818
bxt_gmosa_1k	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	0.0025246360085227275	0.4089910333806818	0.3493855794270833	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.979949951171875	3.9022476946721314e-05
bxt_gmosa__nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.0025246360085227275	1.0	0.00037783668154761906	0.10265769421214789	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.06427001953125	3.9022476946721314e-05
bxt_gso_1k	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.4089910333806818	0.00037783668154761906	1.0	0.00120849609375	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.3957527779244088	3.9022476946721314e-05
bxt_gso__nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.3493855794270833	0.10265769421214789	0.00120849609375	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.4089910333806818	3.9022476946721314e-05
dnilmf	3.9022476946721314e-05	3.9022476946721314e-05	0.00120849609375	0.00479574764476103	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	0.3957527779244088	3.9022476946721314e-05	3.9022476946721314e-05
dthybrid	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
lmorls	3.9022476946721314e-05	3.9022476946721314e-05	0.0031264575559701493	0.010383937669836956	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.3957527779244088	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05
md_ss_bxt_gso	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.979949951171875	0.06427001953125	0.3957527779244088	0.4089910333806818	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05
nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	7.678616431451613e-05	0.4089910333806818	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0
