	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05
blmnii_svm	6.433435388513514e-05	1.0	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05
brf_lmo	6.433435388513514e-05	6.433435388513514e-05	1.0	6.433435388513514e-05	0.12746143341064453	0.20723655007102273	0.024973016036184213	0.10307384672619048	0.0008331298828125	6.433435388513514e-05	0.04510392813846983	0.01856689453125	0.0013839366824127907
bxt_gmo__nrlmf	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	1.0	0.8828984310752467	0.016168558372641507	0.8242195747994088	0.016168558372641507	6.433435388513514e-05	6.433435388513514e-05	0.0010768345424107143	0.6087137858072916	6.433435388513514e-05
bxt_gmosa_1k	6.433435388513514e-05	6.433435388513514e-05	0.12746143341064453	0.8828984310752467	1.0	0.056660636526639344	0.899932861328125	0.22446544134794777	0.010007274394132654	6.433435388513514e-05	0.2613578464673913	0.794489612318065	0.01856689453125
bxt_gmosa__nrlmf	6.433435388513514e-05	6.433435388513514e-05	0.20723655007102273	0.016168558372641507	0.056660636526639344	1.0	0.016168558372641507	0.899932861328125	0.008380889892578125	6.433435388513514e-05	0.24251780790441177	0.021593366350446428	0.014329833984374998
bxt_gso_1k	6.433435388513514e-05	6.433435388513514e-05	0.024973016036184213	0.8242195747994088	0.899932861328125	0.016168558372641507	1.0	0.05107711533368644	0.0055710812832446815	6.433435388513514e-05	0.15567626953125	0.85372802734375	0.0036223038383152175
bxt_gso__nrlmf	6.433435388513514e-05	6.433435388513514e-05	0.10307384672619048	0.016168558372641507	0.22446544134794777	0.899932861328125	0.05107711533368644	1.0	0.0006103515625	6.433435388513514e-05	0.4827052525111607	0.06373251638104839	0.0036223038383152175
dnilmf	6.433435388513514e-05	6.433435388513514e-05	0.0008331298828125	6.433435388513514e-05	0.010007274394132654	0.008380889892578125	0.0055710812832446815	0.0006103515625	1.0	6.433435388513514e-05	0.0010768345424107143	0.00043848941200657894	0.5802405988666374
dthybrid	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05	1.0	6.433435388513514e-05	6.433435388513514e-05	6.433435388513514e-05
lmorls	6.433435388513514e-05	6.433435388513514e-05	0.04510392813846983	0.0010768345424107143	0.2613578464673913	0.24251780790441177	0.15567626953125	0.4827052525111607	0.0010768345424107143	6.433435388513514e-05	1.0	0.056660636526639344	6.433435388513514e-05
md_ss_bxt_gso	6.433435388513514e-05	6.433435388513514e-05	0.01856689453125	0.6087137858072916	0.794489612318065	0.021593366350446428	0.85372802734375	0.06373251638104839	0.00043848941200657894	6.433435388513514e-05	0.056660636526639344	1.0	0.0017852783203125
nrlmf	6.433435388513514e-05	6.433435388513514e-05	0.0013839366824127907	6.433435388513514e-05	0.01856689453125	0.014329833984374998	0.0036223038383152175	0.0036223038383152175	0.5802405988666374	6.433435388513514e-05	6.433435388513514e-05	0.0017852783203125	1.0
