	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.002496486756859756	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	0.000148773193359375	7.678616431451613e-05	0.014622279575892858	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05
blmnii_svm	0.002496486756859756	1.0	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	0.002496486756859756	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05
brf_lmo	7.678616431451613e-05	7.678616431451613e-05	1.0	0.030900743272569444	0.017138671874999997	0.979949951171875	0.007246907552083334	0.9520866096793831	0.0007213245738636364	7.678616431451613e-05	0.5222019504856419	0.1315730925529234	0.121478271484375
bxt_gmo__nrlmf	7.678616431451613e-05	7.678616431451613e-05	0.030900743272569444	1.0	0.002496486756859756	0.15810871124267578	0.0015660336143092106	0.1315730925529234	7.678616431451613e-05	7.678616431451613e-05	0.0015660336143092106	0.0012563069661458333	7.678616431451613e-05
bxt_gmosa_1k	7.678616431451613e-05	7.678616431451613e-05	0.017138671874999997	0.002496486756859756	1.0	0.020023121553308824	0.190869140625	0.01239776611328125	0.22116447897518382	7.678616431451613e-05	0.02281563237028302	0.07756726495150862	0.32721720950704225
bxt_gmosa__nrlmf	7.678616431451613e-05	7.678616431451613e-05	0.979949951171875	0.15810871124267578	0.020023121553308824	1.0	0.010433115857712767	0.9236153050472862	0.007246907552083334	7.678616431451613e-05	0.73394775390625	0.22116447897518382	0.06932308799342106
bxt_gso_1k	7.678616431451613e-05	7.678616431451613e-05	0.007246907552083334	0.0015660336143092106	0.190869140625	0.010433115857712767	1.0	0.004871457122093023	0.20723655007102273	7.678616431451613e-05	0.121478271484375	0.034770420619419644	0.4011740488548801
bxt_gso__nrlmf	0.000148773193359375	7.678616431451613e-05	0.9520866096793831	0.1315730925529234	0.01239776611328125	0.9236153050472862	0.004871457122093023	1.0	0.0031171526227678575	7.678616431451613e-05	0.28512705927309784	0.02281563237028302	0.15810871124267578
dnilmf	7.678616431451613e-05	7.678616431451613e-05	0.0007213245738636364	7.678616431451613e-05	0.22116447897518382	0.007246907552083334	0.20723655007102273	0.0031171526227678575	1.0	7.678616431451613e-05	0.0009521484375	0.010433115857712767	0.0009521484375
dthybrid	0.014622279575892858	0.002496486756859756	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05	1.0	7.678616431451613e-05	7.678616431451613e-05	7.678616431451613e-05
lmorls	7.678616431451613e-05	7.678616431451613e-05	0.5222019504856419	0.0015660336143092106	0.02281563237028302	0.73394775390625	0.121478271484375	0.28512705927309784	0.0009521484375	7.678616431451613e-05	1.0	0.32721720950704225	0.034770420619419644
md_ss_bxt_gso	7.678616431451613e-05	7.678616431451613e-05	0.1315730925529234	0.0012563069661458333	0.07756726495150862	0.22116447897518382	0.034770420619419644	0.02281563237028302	0.010433115857712767	7.678616431451613e-05	0.32721720950704225	1.0	0.37742106119791663
nrlmf	7.678616431451613e-05	7.678616431451613e-05	0.121478271484375	7.678616431451613e-05	0.32721720950704225	0.06932308799342106	0.4011740488548801	0.15810871124267578	0.0009521484375	7.678616431451613e-05	0.034770420619419644	0.37742106119791663	1.0
