	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05
blmnii_svm	1.0	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05
brf_lmo	4.176089638157895e-05	4.176089638157895e-05	1.0	0.00018596649169921875	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.24044921875	4.176089638157895e-05	0.33099686472039475	4.176089638157895e-05	0.11023691538217906
bxt_gmo__nrlmf	4.176089638157895e-05	4.176089638157895e-05	0.00018596649169921875	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.11023691538217906	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05
bxt_gmosa_1k	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	8.069054555084746e-05	0.09018961588541666	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05
bxt_gmosa__nrlmf	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	8.069054555084746e-05	1.0	0.00396728515625	0.007318752915111941	0.00011335100446428572	4.176089638157895e-05	4.176089638157895e-05	0.012601964613970588	4.176089638157895e-05
bxt_gso_1k	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.09018961588541666	0.00396728515625	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.037371826171875	4.176089638157895e-05
bxt_gso__nrlmf	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.007318752915111941	4.176089638157895e-05	1.0	0.0015747070312499998	4.176089638157895e-05	0.00011335100446428572	4.176089638157895e-05	0.00011335100446428572
dnilmf	4.176089638157895e-05	4.176089638157895e-05	0.24044921875	4.176089638157895e-05	4.176089638157895e-05	0.00011335100446428572	4.176089638157895e-05	0.0015747070312499998	1.0	4.176089638157895e-05	0.535027045708198	4.176089638157895e-05	0.014799698539402174
dthybrid	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.11023691538217906	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	0.00011335100446428572	4.176089638157895e-05	8.069054555084746e-05
lmorls	4.176089638157895e-05	4.176089638157895e-05	0.33099686472039475	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.00011335100446428572	0.535027045708198	0.00011335100446428572	1.0	4.176089638157895e-05	0.09018961588541666
md_ss_bxt_gso	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.012601964613970588	0.037371826171875	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	4.176089638157895e-05
nrlmf	4.176089638157895e-05	4.176089638157895e-05	0.11023691538217906	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.00011335100446428572	0.014799698539402174	8.069054555084746e-05	0.09018961588541666	4.176089638157895e-05	1.0
