	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05
blmnii_svm	6.612141927083333e-05	1.0	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05
brf_lmo	6.612141927083333e-05	6.612141927083333e-05	1.0	0.0003875022710755814	0.029274388363486843	0.06477731173155737	0.0196380615234375	0.21795919667119565	0.1533175381747159	6.612141927083333e-05	0.18244844324448528	0.0005409934303977273	0.00545501708984375
bxt_gmo__nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.0003875022710755814	1.0	0.979949951171875	0.3493855794270833	0.648807726408306	0.011668485753676471	0.00012528268914473685	6.612141927083333e-05	0.004456865026595745	0.792107123833198	0.00012528268914473685
bxt_gmosa_1k	6.612141927083333e-05	6.612141927083333e-05	0.029274388363486843	0.979949951171875	1.0	0.3722509096746575	0.3493855794270833	0.06477731173155737	0.006655323262117347	6.612141927083333e-05	0.05107711533368644	0.3957527779244088	6.612141927083333e-05
bxt_gmosa__nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.06477731173155737	0.3493855794270833	0.3722509096746575	1.0	0.33189174107142855	0.18244844324448528	0.0010050455729166668	6.612141927083333e-05	0.1533175381747159	0.10307384672619048	6.612141927083333e-05
bxt_gso_1k	6.612141927083333e-05	6.612141927083333e-05	0.0196380615234375	0.648807726408306	0.3493855794270833	0.33189174107142855	1.0	0.11388587951660156	0.009807128906249999	6.612141927083333e-05	0.04510392813846983	0.07256292527721775	0.00029754638671875
bxt_gso__nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.21795919667119565	0.011668485753676471	0.06477731173155737	0.18244844324448528	0.11388587951660156	1.0	0.029274388363486843	6.612141927083333e-05	0.45052490234375	0.026360405815972224	0.0003875022710755814
dnilmf	6.612141927083333e-05	6.612141927083333e-05	0.1533175381747159	0.00012528268914473685	0.006655323262117347	0.0010050455729166668	0.009807128906249999	0.029274388363486843	1.0	6.612141927083333e-05	0.02281563237028302	0.0003875022710755814	0.029274388363486843
dthybrid	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05	1.0	6.612141927083333e-05	6.612141927083333e-05	6.612141927083333e-05
lmorls	6.612141927083333e-05	6.612141927083333e-05	0.18244844324448528	0.004456865026595745	0.05107711533368644	0.1533175381747159	0.04510392813846983	0.45052490234375	0.02281563237028302	6.612141927083333e-05	1.0	0.004456865026595745	0.00029754638671875
md_ss_bxt_gso	6.612141927083333e-05	6.612141927083333e-05	0.0005409934303977273	0.792107123833198	0.3957527779244088	0.10307384672619048	0.07256292527721775	0.026360405815972224	0.0003875022710755814	6.612141927083333e-05	0.004456865026595745	1.0	6.612141927083333e-05
nrlmf	6.612141927083333e-05	6.612141927083333e-05	0.00545501708984375	0.00012528268914473685	6.612141927083333e-05	6.612141927083333e-05	0.00029754638671875	0.0003875022710755814	0.029274388363486843	6.612141927083333e-05	0.00029754638671875	6.612141927083333e-05	1.0
