	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
blmnii_svm	1.0	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
brf_lmo	4.250662667410714e-05	4.250662667410714e-05	1.0	0.9774755859375	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.045659845525568184	4.250662667410714e-05	0.00012103581832627119	4.250662667410714e-05	4.250662667410714e-05
bxt_gmo__nrlmf	4.250662667410714e-05	4.250662667410714e-05	0.9774755859375	1.0	4.250662667410714e-05	4.250662667410714e-05	0.00019511238473360657	4.250662667410714e-05	0.8471145629882812	4.250662667410714e-05	0.00012103581832627119	4.250662667410714e-05	0.00019511238473360657
bxt_gmosa_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	0.06616031422334559	0.00012103581832627119	0.00037783668154761906	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.9774755859375	4.250662667410714e-05
bxt_gmosa__nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.06616031422334559	1.0	0.00037783668154761906	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.06616031422334559	4.250662667410714e-05
bxt_gso_1k	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.00019511238473360657	0.00012103581832627119	0.00037783668154761906	1.0	0.19822626528532608	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.0020456314086914062	0.9615720984053938
bxt_gso__nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.00037783668154761906	4.250662667410714e-05	0.19822626528532608	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.33189174107142855
dnilmf	4.250662667410714e-05	4.250662667410714e-05	0.045659845525568184	0.8471145629882812	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	0.3827368507922535	4.250662667410714e-05	4.250662667410714e-05
dthybrid	1.0	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05
lmorls	4.250662667410714e-05	4.250662667410714e-05	0.00012103581832627119	0.00012103581832627119	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.3827368507922535	4.250662667410714e-05	1.0	4.250662667410714e-05	4.250662667410714e-05
md_ss_bxt_gso	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.9774755859375	0.06616031422334559	0.0020456314086914062	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	1.0	0.04024658203125
nrlmf	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.00019511238473360657	4.250662667410714e-05	4.250662667410714e-05	0.9615720984053938	0.33189174107142855	4.250662667410714e-05	4.250662667410714e-05	4.250662667410714e-05	0.04024658203125	1.0
