	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
blmnii_svm	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
brf_lmo	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.00011157989501953125	3.9022476946721314e-05	0.0008624532948369565	3.9022476946721314e-05	0.004529317220052083	7.678616431451613e-05	3.9022476946721314e-05
bxt_gmo__nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
bxt_gmosa_1k	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	0.00011157989501953125	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.006717211579623288	0.0599853515625	0.0004973909748134329
bxt_gmosa__nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	0.0018702915736607143	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
bxt_gso_1k	3.9022476946721314e-05	3.9022476946721314e-05	0.00011157989501953125	3.9022476946721314e-05	0.00011157989501953125	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.07585866827713816	0.0004973909748134329	0.019235971811655407
bxt_gso__nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.0018702915736607143	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
dnilmf	3.9022476946721314e-05	3.9022476946721314e-05	0.0008624532948369565	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	0.00018310546875	3.9022476946721314e-05	3.9022476946721314e-05
dthybrid	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	1.0	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05
lmorls	3.9022476946721314e-05	3.9022476946721314e-05	0.004529317220052083	3.9022476946721314e-05	0.006717211579623288	3.9022476946721314e-05	0.07585866827713816	3.9022476946721314e-05	0.00018310546875	3.9022476946721314e-05	1.0	0.004529317220052083	0.32669820413961037
md_ss_bxt_gso	3.9022476946721314e-05	3.9022476946721314e-05	7.678616431451613e-05	3.9022476946721314e-05	0.0599853515625	3.9022476946721314e-05	0.0004973909748134329	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.004529317220052083	1.0	0.0008624532948369565
nrlmf	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.0004973909748134329	3.9022476946721314e-05	0.019235971811655407	3.9022476946721314e-05	3.9022476946721314e-05	3.9022476946721314e-05	0.32669820413961037	0.0008624532948369565	1.0
