	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	6.801060267857143e-05	0.7146288001019022	6.801060267857143e-05	6.801060267857143e-05	0.001103098799542683	6.801060267857143e-05	0.002274576822916667	0.00030517578125	0.2139050713900862	6.801060267857143e-05	0.0001930030616554054	6.801060267857143e-05
blmnii_svm	6.801060267857143e-05	1.0	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05
brf_lmo	0.7146288001019022	6.801060267857143e-05	1.0	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.0014168875558035715	0.85372802734375	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05
bxt_gmo__nrlmf	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	1.0	0.04056549072265625	0.00013224283854166666	0.38720703125	0.00030517578125	0.1717011073850236	6.801060267857143e-05	0.18398104580965907	0.060270996093749994	0.7146288001019022
bxt_gmosa_1k	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.04056549072265625	1.0	0.110870361328125	0.0017852783203125	0.8168696013974472	0.472350089780746	6.801060267857143e-05	0.8242195747994088	0.18398104580965907	1.0
bxt_gmosa__nrlmf	0.001103098799542683	6.801060267857143e-05	6.801060267857143e-05	0.00013224283854166666	0.110870361328125	1.0	0.001103098799542683	0.053388323102678575	0.7146288001019022	6.801060267857143e-05	0.0028460958729619565	0.0017852783203125	0.8242195747994088
bxt_gso_1k	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.38720703125	0.0017852783203125	0.001103098799542683	1.0	0.00693852850731383	0.1000222598805147	6.801060267857143e-05	0.2549014333951271	0.20037623814174108	0.7449541364397321
bxt_gso__nrlmf	0.002274576822916667	6.801060267857143e-05	6.801060267857143e-05	0.00030517578125	0.8168696013974472	0.053388323102678575	0.00693852850731383	1.0	0.7146288001019022	6.801060267857143e-05	0.472350089780746	0.4998779296875	0.8242195747994088
dnilmf	0.00030517578125	6.801060267857143e-05	0.0014168875558035715	0.1717011073850236	0.472350089780746	0.7146288001019022	0.1000222598805147	0.7146288001019022	1.0	6.801060267857143e-05	0.527958869934082	0.2139050713900862	6.801060267857143e-05
dthybrid	0.2139050713900862	6.801060267857143e-05	0.85372802734375	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	1.0	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05
lmorls	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.18398104580965907	0.8242195747994088	0.0028460958729619565	0.2549014333951271	0.472350089780746	0.527958869934082	6.801060267857143e-05	1.0	0.9926765739143668	0.7146288001019022
md_ss_bxt_gso	0.0001930030616554054	6.801060267857143e-05	6.801060267857143e-05	0.060270996093749994	0.18398104580965907	0.0017852783203125	0.20037623814174108	0.4998779296875	0.2139050713900862	6.801060267857143e-05	0.9926765739143668	1.0	0.9926765739143668
nrlmf	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.7146288001019022	1.0	0.8242195747994088	0.7449541364397321	0.8242195747994088	6.801060267857143e-05	6.801060267857143e-05	0.7146288001019022	0.9926765739143668	1.0
