	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.0181029890934432	4.7607421874999995e-05	0.22116447897518382	4.7607421874999995e-05	0.0007414270619877049	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	1.0	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05
blmnii_svm	0.0181029890934432	1.0	4.7607421874999995e-05	0.0007414270619877049	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	0.0181029890934432	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05
brf_lmo	4.7607421874999995e-05	4.7607421874999995e-05	1.0	4.7607421874999995e-05	4.7607421874999995e-05	0.5721817016601562	4.7607421874999995e-05	0.25762416294642854	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	0.00029754638671875
bxt_gmo__nrlmf	0.22116447897518382	0.0007414270619877049	4.7607421874999995e-05	1.0	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	0.22116447897518382	4.7607421874999995e-05	4.7607421874999995e-05	0.00013224283854166666
bxt_gmosa_1k	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	1.0	4.7607421874999995e-05	0.5442668216329225	4.7607421874999995e-05	0.802529585988898	4.7607421874999995e-05	0.0005745723329741379	0.65745849609375	4.7607421874999995e-05
bxt_gmosa__nrlmf	0.0007414270619877049	4.7607421874999995e-05	0.5721817016601562	4.7607421874999995e-05	4.7607421874999995e-05	1.0	4.7607421874999995e-05	0.25762416294642854	9.1552734375e-05	0.0007414270619877049	0.0002163973721590909	4.7607421874999995e-05	0.0016246977306547618
bxt_gso_1k	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	0.5442668216329225	4.7607421874999995e-05	1.0	4.7607421874999995e-05	0.65745849609375	4.7607421874999995e-05	0.0005745723329741379	0.9520866096793831	4.7607421874999995e-05
bxt_gso__nrlmf	4.7607421874999995e-05	4.7607421874999995e-05	0.25762416294642854	4.7607421874999995e-05	4.7607421874999995e-05	0.25762416294642854	4.7607421874999995e-05	1.0	4.7607421874999995e-05	4.7607421874999995e-05	0.00013224283854166666	4.7607421874999995e-05	0.0016246977306547618
dnilmf	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	0.802529585988898	9.1552734375e-05	0.65745849609375	4.7607421874999995e-05	1.0	4.7607421874999995e-05	0.11043479225852273	0.65745849609375	4.7607421874999995e-05
dthybrid	1.0	0.0181029890934432	4.7607421874999995e-05	0.22116447897518382	4.7607421874999995e-05	0.0007414270619877049	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	1.0	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05
lmorls	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	0.0005745723329741379	0.0002163973721590909	0.0005745723329741379	0.00013224283854166666	0.11043479225852273	4.7607421874999995e-05	1.0	9.1552734375e-05	4.7607421874999995e-05
md_ss_bxt_gso	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	0.65745849609375	4.7607421874999995e-05	0.9520866096793831	4.7607421874999995e-05	0.65745849609375	4.7607421874999995e-05	9.1552734375e-05	1.0	4.7607421874999995e-05
nrlmf	4.7607421874999995e-05	4.7607421874999995e-05	0.00029754638671875	0.00013224283854166666	4.7607421874999995e-05	0.0016246977306547618	4.7607421874999995e-05	0.0016246977306547618	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	4.7607421874999995e-05	1.0
