	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.003794794497282609	8.069054555084746e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.09018961588541666	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05
blmnii_svm	0.003794794497282609	1.0	0.00019511238473360657	0.0015508478338068182	4.176089638157895e-05	0.007005092075892857	4.176089638157895e-05	0.0015508478338068182	0.0012273788452148438	0.003794794497282609	0.0006577291595993165	4.176089638157895e-05	0.0019540359724813435
brf_lmo	8.069054555084746e-05	0.00019511238473360657	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	8.069054555084746e-05	4.176089638157895e-05	4.176089638157895e-05	0.0003839308215725807
bxt_gmo__nrlmf	4.176089638157895e-05	0.0015508478338068182	4.176089638157895e-05	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.11174701011344178	4.176089638157895e-05	4.176089638157895e-05
bxt_gmosa_1k	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.0001190185546875	4.176089638157895e-05
bxt_gmosa__nrlmf	4.176089638157895e-05	0.007005092075892857	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	4.176089638157895e-05	0.648807726408306	4.176089638157895e-05	4.176089638157895e-05	0.2436985325168919	4.176089638157895e-05	4.176089638157895e-05
bxt_gso_1k	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05
bxt_gso__nrlmf	4.176089638157895e-05	0.0015508478338068182	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.648807726408306	4.176089638157895e-05	1.0	4.176089638157895e-05	4.176089638157895e-05	0.792107123833198	4.176089638157895e-05	4.176089638157895e-05
dnilmf	0.09018961588541666	0.0012273788452148438	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	0.09018961588541666	4.176089638157895e-05	4.176089638157895e-05	0.26231689453125
dthybrid	1.0	0.003794794497282609	8.069054555084746e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.09018961588541666	1.0	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05
lmorls	4.176089638157895e-05	0.0006577291595993165	4.176089638157895e-05	0.11174701011344178	4.176089638157895e-05	0.2436985325168919	4.176089638157895e-05	0.792107123833198	4.176089638157895e-05	4.176089638157895e-05	1.0	4.176089638157895e-05	4.176089638157895e-05
md_ss_bxt_gso	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.0001190185546875	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0	4.176089638157895e-05
nrlmf	4.176089638157895e-05	0.0019540359724813435	0.0003839308215725807	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	0.26231689453125	4.176089638157895e-05	4.176089638157895e-05	4.176089638157895e-05	1.0
