	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.6403816520393668	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	0.2695036587649829	4.034527277542373e-05	4.034527277542373e-05
blmnii_svm	0.6403816520393668	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.6403816520393668	0.012945218810813385	4.034527277542373e-05	4.034527277542373e-05
brf_lmo	4.034527277542373e-05	4.034527277542373e-05	1.0	0.10412423270089285	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.15804323008362675	4.034527277542373e-05	7.43865966796875e-05	4.034527277542373e-05	4.034527277542373e-05
bxt_gmo__nrlmf	4.034527277542373e-05	4.034527277542373e-05	0.10412423270089285	1.0	4.034527277542373e-05	0.5922620618665541	4.034527277542373e-05	0.62045166015625	0.0941109035326087	4.034527277542373e-05	7.43865966796875e-05	4.034527277542373e-05	4.034527277542373e-05
bxt_gmosa_1k	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	7.43865966796875e-05	4.034527277542373e-05
bxt_gmosa__nrlmf	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.5922620618665541	4.034527277542373e-05	1.0	4.034527277542373e-05	0.007318752915111941	4.034527277542373e-05	4.034527277542373e-05	0.001190185546875	4.034527277542373e-05	4.034527277542373e-05
bxt_gso_1k	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05
bxt_gso__nrlmf	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	0.62045166015625	4.034527277542373e-05	0.007318752915111941	4.034527277542373e-05	1.0	4.034527277542373e-05	4.034527277542373e-05	0.001190185546875	4.034527277542373e-05	4.034527277542373e-05
dnilmf	4.034527277542373e-05	4.034527277542373e-05	0.15804323008362675	0.0941109035326087	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	4.034527277542373e-05	7.43865966796875e-05	4.034527277542373e-05	4.034527277542373e-05
dthybrid	1.0	0.6403816520393668	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0	0.2695036587649829	4.034527277542373e-05	4.034527277542373e-05
lmorls	0.2695036587649829	0.012945218810813385	7.43865966796875e-05	7.43865966796875e-05	4.034527277542373e-05	0.001190185546875	4.034527277542373e-05	0.001190185546875	7.43865966796875e-05	0.2695036587649829	1.0	7.43865966796875e-05	4.034527277542373e-05
md_ss_bxt_gso	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	7.43865966796875e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	7.43865966796875e-05	1.0	4.034527277542373e-05
nrlmf	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	4.034527277542373e-05	1.0
