	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.00010349439538043478	0.00010349439538043478	0.12550048828125	0.00010349439538043478	0.0001983642578125	0.00010349439538043478	0.00028564453125	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478
blmnii_svm	0.00010349439538043478	1.0	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478
brf_lmo	0.00010349439538043478	0.00010349439538043478	1.0	0.09940101360452586	0.00010349439538043478	0.042329207710597824	0.00010349439538043478	0.011493791852678572	0.69529052734375	0.028791155133928572	0.5885297502790179	0.00010349439538043478	0.979949951171875
bxt_gmo__nrlmf	0.12550048828125	0.00010349439538043478	0.09940101360452586	1.0	0.0691259765625	0.042329207710597824	0.0691259765625	0.01325287690033784	0.08179820667613635	0.08179820667613635	0.12550048828125	0.08179820667613635	0.11006190413135594
bxt_gmosa_1k	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.0691259765625	1.0	0.6663430703652872	0.8424947638260691	0.07747874540441177	0.09940101360452586	0.1533175381747159	0.00042506626674107144	0.01837158203125	0.0005745723329741379
bxt_gmosa__nrlmf	0.0001983642578125	0.00010349439538043478	0.042329207710597824	0.042329207710597824	0.6663430703652872	1.0	0.6374503357769692	0.020900819359756097	0.09109170096261161	0.11569359188988095	0.11569359188988095	0.9520866096793831	0.011493791852678572
bxt_gso_1k	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.0691259765625	0.8424947638260691	0.6374503357769692	1.0	0.0691259765625	0.042329207710597824	0.08179820667613635	0.004223239037298388	0.22446544134794777	0.001507568359375
bxt_gso__nrlmf	0.00028564453125	0.00010349439538043478	0.011493791852678572	0.01325287690033784	0.07747874540441177	0.020900819359756097	0.0691259765625	1.0	0.020900819359756097	0.015660336143092105	0.01325287690033784	0.03310376544331395	0.011493791852678572
dnilmf	0.00010349439538043478	0.00010349439538043478	0.69529052734375	0.08179820667613635	0.09940101360452586	0.09109170096261161	0.042329207710597824	0.020900819359756097	1.0	0.05566016663896277	0.6374503357769692	0.5885297502790179	0.11569359188988095
dthybrid	0.00010349439538043478	0.00010349439538043478	0.028791155133928572	0.08179820667613635	0.1533175381747159	0.11569359188988095	0.08179820667613635	0.015660336143092105	0.05566016663896277	1.0	0.11569359188988095	0.6374503357769692	0.00042506626674107144
lmorls	0.00010349439538043478	0.00010349439538043478	0.5885297502790179	0.12550048828125	0.00042506626674107144	0.11569359188988095	0.004223239037298388	0.01325287690033784	0.6374503357769692	0.11569359188988095	1.0	0.00042506626674107144	0.4631221995634191
md_ss_bxt_gso	0.00010349439538043478	0.00010349439538043478	0.00010349439538043478	0.08179820667613635	0.01837158203125	0.9520866096793831	0.22446544134794777	0.03310376544331395	0.5885297502790179	0.6374503357769692	0.00042506626674107144	1.0	0.008182525634765625
nrlmf	0.00010349439538043478	0.00010349439538043478	0.979949951171875	0.11006190413135594	0.0005745723329741379	0.011493791852678572	0.001507568359375	0.011493791852678572	0.11569359188988095	0.00042506626674107144	0.4631221995634191	0.008182525634765625	1.0
