	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	6.801060267857143e-05	0.074981689453125	0.074981689453125	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.00015524159307065216	1.0	0.00015524159307065216	6.801060267857143e-05	0.00011901855468750001
blmnii_svm	6.801060267857143e-05	1.0	6.801060267857143e-05	0.00011901855468750001	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05
brf_lmo	0.074981689453125	6.801060267857143e-05	1.0	0.06171962193080357	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.001571044921875	6.801060267857143e-05	0.011228165536556603	0.00011901855468750001	0.00015524159307065216	0.9646140650699013
bxt_gmo__nrlmf	0.074981689453125	0.00011901855468750001	0.06171962193080357	1.0	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.0002532309674202128	0.4371000830806903	0.000347137451171875	6.801060267857143e-05	6.801060267857143e-05
bxt_gmosa_1k	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	1.0	0.074981689453125	0.026360405815972224	0.04756414240056818	0.18098498928931453	6.801060267857143e-05	0.31228201729910715	6.801060267857143e-05	6.801060267857143e-05
bxt_gmosa__nrlmf	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.074981689453125	1.0	0.4371000830806903	1.0	0.775296923140405	6.801060267857143e-05	0.9359301757812499	0.074981689453125	0.00015524159307065216
bxt_gso_1k	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.026360405815972224	0.4371000830806903	1.0	0.363006591796875	0.38701171874999996	6.801060267857143e-05	0.7449541364397321	0.00011901855468750001	6.801060267857143e-05
bxt_gso__nrlmf	6.801060267857143e-05	6.801060267857143e-05	0.001571044921875	6.801060267857143e-05	0.04756414240056818	1.0	0.363006591796875	1.0	0.6445204790900735	6.801060267857143e-05	0.9359301757812499	0.1491829293673156	0.0009230010363520409
dnilmf	0.00015524159307065216	6.801060267857143e-05	6.801060267857143e-05	0.0002532309674202128	0.18098498928931453	0.775296923140405	0.38701171874999996	0.6445204790900735	1.0	0.00015524159307065216	0.8893000284830729	0.9191819282427226	0.003204345703125
dthybrid	1.0	6.801060267857143e-05	0.011228165536556603	0.4371000830806903	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	6.801060267857143e-05	0.00015524159307065216	1.0	6.801060267857143e-05	6.801060267857143e-05	0.00011901855468750001
lmorls	0.00015524159307065216	6.801060267857143e-05	0.00011901855468750001	0.000347137451171875	0.31228201729910715	0.9359301757812499	0.7449541364397321	0.9359301757812499	0.8893000284830729	6.801060267857143e-05	1.0	0.6744039784307065	0.0025670668658088233
md_ss_bxt_gso	6.801060267857143e-05	6.801060267857143e-05	0.00015524159307065216	6.801060267857143e-05	6.801060267857143e-05	0.074981689453125	0.00011901855468750001	0.1491829293673156	0.9191819282427226	6.801060267857143e-05	0.6744039784307065	1.0	0.00015524159307065216
nrlmf	0.00011901855468750001	6.801060267857143e-05	0.9646140650699013	6.801060267857143e-05	6.801060267857143e-05	0.00015524159307065216	6.801060267857143e-05	0.0009230010363520409	0.003204345703125	0.00011901855468750001	0.0025670668658088233	0.00015524159307065216	1.0
