	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	9.521484374999999e-05	9.521484374999999e-05	0.9520866096793831	9.521484374999999e-05	0.001983642578125	9.521484374999999e-05	0.007273356119791666	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05
blmnii_svm	9.521484374999999e-05	1.0	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05	9.521484374999999e-05
brf_lmo	9.521484374999999e-05	9.521484374999999e-05	1.0	0.4827052525111607	0.003803551802970252	0.00981177353277439	0.00018310546875	0.00981177353277439	0.0008501325334821429	0.001983642578125	0.7242609659830729	0.008813806482263514	0.10114489103618422
bxt_gmo__nrlmf	0.9520866096793831	9.521484374999999e-05	0.4827052525111607	1.0	0.062841796875	0.0006171332465277778	0.062841796875	0.0024547576904296875	0.03405388034119898	0.8946704101562499	0.743865966796875	0.11948682441086066	0.30267333984375
bxt_gmosa_1k	9.521484374999999e-05	9.521484374999999e-05	0.003803551802970252	0.062841796875	1.0	0.1467767530871976	0.31950264546408585	0.021727217004654256	0.28177642822265625	9.521484374999999e-05	0.05685943027712264	0.11948682441086066	0.6944984113666374
bxt_gmosa__nrlmf	0.001983642578125	9.521484374999999e-05	0.00981177353277439	0.0006171332465277778	0.1467767530871976	1.0	0.0251922607421875	0.43067214068244486	0.9520866096793831	0.00981177353277439	0.021727217004654256	0.03894287109375	0.04434024586397059
bxt_gso_1k	9.521484374999999e-05	9.521484374999999e-05	0.00018310546875	0.062841796875	0.31950264546408585	0.0251922607421875	1.0	0.011403638263081394	0.0503082275390625	9.521484374999999e-05	0.11006190413135594	0.743865966796875	0.4827052525111607
bxt_gso__nrlmf	0.007273356119791666	9.521484374999999e-05	0.00981177353277439	0.0024547576904296875	0.021727217004654256	0.43067214068244486	0.011403638263081394	1.0	0.31950264546408585	0.00981177353277439	0.011403638263081394	0.021727217004654256	0.021727217004654256
dnilmf	9.521484374999999e-05	9.521484374999999e-05	0.0008501325334821429	0.03405388034119898	0.28177642822265625	0.9520866096793831	0.0503082275390625	0.31950264546408585	1.0	9.521484374999999e-05	9.521484374999999e-05	0.10114489103618422	0.004900764016544118
dthybrid	9.521484374999999e-05	9.521484374999999e-05	0.001983642578125	0.8946704101562499	9.521484374999999e-05	0.00981177353277439	9.521484374999999e-05	0.00981177353277439	9.521484374999999e-05	1.0	0.11006190413135594	9.521484374999999e-05	0.007273356119791666
lmorls	9.521484374999999e-05	9.521484374999999e-05	0.7242609659830729	0.743865966796875	0.05685943027712264	0.021727217004654256	0.11006190413135594	0.011403638263081394	9.521484374999999e-05	0.11006190413135594	1.0	0.2387172154017857	0.0024547576904296875
md_ss_bxt_gso	9.521484374999999e-05	9.521484374999999e-05	0.008813806482263514	0.11948682441086066	0.11948682441086066	0.03894287109375	0.743865966796875	0.021727217004654256	0.10114489103618422	9.521484374999999e-05	0.2387172154017857	1.0	1.0
nrlmf	9.521484374999999e-05	9.521484374999999e-05	0.10114489103618422	0.30267333984375	0.6944984113666374	0.04434024586397059	0.4827052525111607	0.021727217004654256	0.004900764016544118	0.007273356119791666	0.0024547576904296875	1.0	1.0
