	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	0.00011901855468750001	0.000396728515625	0.007953922923018292	0.04111550071022727	0.008939615885416667	0.1700162020596591	0.002310360179227941	0.0007213245738636364	0.15567626953125	0.7046863452808277	0.00017632378472222222	0.00450340477195946
blmnii_svm	0.00011901855468750001	1.0	0.22446544134794777	0.00011901855468750001	0.00011901855468750001	0.00017632378472222222	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001
brf_lmo	0.000396728515625	0.22446544134794777	1.0	0.00011901855468750001	0.00011901855468750001	0.00017632378472222222	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001	0.00011901855468750001
bxt_gmo__nrlmf	0.007953922923018292	0.00011901855468750001	0.00011901855468750001	1.0	0.8714322176846591	0.008939615885416667	0.05858133606991526	0.0005375031502016129	0.08362516809682377	0.04671478271484375	0.00017632378472222222	0.3058096749441964	0.05858133606991526
bxt_gmosa_1k	0.04111550071022727	0.00011901855468750001	0.00011901855468750001	0.8714322176846591	1.0	0.05858133606991526	0.00450340477195946	0.03148377616450471	0.028469238281249996	0.03148377616450471	0.00017632378472222222	0.8714322176846591	0.2613578464673913
bxt_gmosa__nrlmf	0.008939615885416667	0.00017632378472222222	0.00017632378472222222	0.008939615885416667	0.05858133606991526	1.0	0.014622279575892858	0.3445994755993151	0.2613578464673913	0.010659922724184782	0.008939615885416667	0.014622279575892858	0.14218997955322266
bxt_gso_1k	0.1700162020596591	0.00011901855468750001	0.00011901855468750001	0.05858133606991526	0.00450340477195946	0.014622279575892858	1.0	0.0007213245738636364	0.0002462452855603448	0.32721720950704225	0.03148377616450471	0.074981689453125	0.008939615885416667
bxt_gso__nrlmf	0.002310360179227941	0.00011901855468750001	0.00011901855468750001	0.0005375031502016129	0.03148377616450471	0.3445994755993151	0.0007213245738636364	1.0	0.3445994755993151	0.00537109375	0.00017632378472222222	0.014622279575892858	0.12948463076636904
dnilmf	0.0007213245738636364	0.00011901855468750001	0.00011901855468750001	0.08362516809682377	0.028469238281249996	0.2613578464673913	0.0002462452855603448	0.3445994755993151	1.0	0.00537109375	0.00011901855468750001	0.12948463076636904	0.8714322176846591
dthybrid	0.15567626953125	0.00011901855468750001	0.00011901855468750001	0.04671478271484375	0.03148377616450471	0.010659922724184782	0.32721720950704225	0.00537109375	0.00537109375	1.0	0.899932861328125	0.00017632378472222222	0.007953922923018292
lmorls	0.7046863452808277	0.00011901855468750001	0.00011901855468750001	0.00017632378472222222	0.00017632378472222222	0.008939615885416667	0.03148377616450471	0.00017632378472222222	0.00011901855468750001	0.899932861328125	1.0	0.00450340477195946	0.0002462452855603448
md_ss_bxt_gso	0.00017632378472222222	0.00011901855468750001	0.00011901855468750001	0.3058096749441964	0.8714322176846591	0.014622279575892858	0.074981689453125	0.014622279575892858	0.12948463076636904	0.00017632378472222222	0.00450340477195946	1.0	0.04111550071022727
nrlmf	0.00450340477195946	0.00011901855468750001	0.00011901855468750001	0.05858133606991526	0.2613578464673913	0.14218997955322266	0.008939615885416667	0.12948463076636904	0.8714322176846591	0.007953922923018292	0.0002462452855603448	0.04111550071022727	1.0
