	blmnii_rls	blmnii_svm	brf_lmo	bxt_gmo__nrlmf	bxt_gmosa_1k	bxt_gmosa__nrlmf	bxt_gso_1k	bxt_gso__nrlmf	dnilmf	dthybrid	lmorls	md_ss_bxt_gso	nrlmf
blmnii_rls	1.0	1.0	0.001190185546875	0.00832113819507998	0.00015357232862903226	0.018910725911458332	0.00015357232862903226	0.0003500545726102941	0.043600463867187494	0.004038840889891201	0.00832113819507998	0.00015357232862903226	0.018910725911458332
blmnii_svm	1.0	1.0	0.001190185546875	0.00832113819507998	0.00015357232862903226	0.018910725911458332	0.00015357232862903226	0.0003500545726102941	0.043600463867187494	0.004038840889891201	0.00832113819507998	0.00015357232862903226	0.018910725911458332
brf_lmo	0.001190185546875	0.001190185546875	1.0	0.002496486756859756	0.00011901855468750001	0.0009256998697916666	0.00011901855468750001	0.043600463867187494	0.1199637020335478	0.00152587890625	0.0003500545726102941	0.00011901855468750001	0.005818684895833334
bxt_gmo__nrlmf	0.00832113819507998	0.00832113819507998	0.002496486756859756	1.0	0.00015357232862903226	0.09008216857910156	0.00015357232862903226	0.0009256998697916666	0.07256292527721775	0.004038840889891201	0.043600463867187494	0.00015357232862903226	0.04038129534040179
bxt_gmosa_1k	0.00015357232862903226	0.00015357232862903226	0.00011901855468750001	0.00015357232862903226	1.0	0.00011901855468750001	1.0	0.00011901855468750001	0.00011901855468750001	0.85372802734375	0.00011901855468750001	0.11043479225852273	0.00011901855468750001
bxt_gmosa__nrlmf	0.018910725911458332	0.018910725911458332	0.0009256998697916666	0.09008216857910156	0.00011901855468750001	1.0	0.00011901855468750001	0.018910725911458332	0.1199637020335478	0.00015357232862903226	0.6003752407962328	0.00011901855468750001	0.07256292527721775
bxt_gso_1k	0.00015357232862903226	0.00015357232862903226	0.00011901855468750001	0.00015357232862903226	1.0	0.00011901855468750001	1.0	0.00011901855468750001	0.00011901855468750001	1.0	0.00011901855468750001	0.07759314688538209	0.00011901855468750001
bxt_gso__nrlmf	0.0003500545726102941	0.0003500545726102941	0.043600463867187494	0.0009256998697916666	0.00011901855468750001	0.018910725911458332	0.00011901855468750001	1.0	0.4183672223772321	0.0019638061523437503	0.030338911576704545	0.00011901855468750001	0.6288361420502534
dnilmf	0.043600463867187494	0.043600463867187494	0.1199637020335478	0.07256292527721775	0.00011901855468750001	0.1199637020335478	0.00011901855468750001	0.4183672223772321	1.0	0.00011901855468750001	0.19822626528532608	0.00011901855468750001	0.5023905436197916
dthybrid	0.004038840889891201	0.004038840889891201	0.00152587890625	0.004038840889891201	0.85372802734375	0.00015357232862903226	1.0	0.0019638061523437503	0.00011901855468750001	1.0	0.00015357232862903226	0.5023905436197916	0.00011901855468750001
lmorls	0.00832113819507998	0.00832113819507998	0.0003500545726102941	0.043600463867187494	0.00011901855468750001	0.6003752407962328	0.00011901855468750001	0.030338911576704545	0.19822626528532608	0.00015357232862903226	1.0	0.00011901855468750001	0.11043479225852273
md_ss_bxt_gso	0.00015357232862903226	0.00015357232862903226	0.00011901855468750001	0.00015357232862903226	0.11043479225852273	0.00011901855468750001	0.07759314688538209	0.00011901855468750001	0.00011901855468750001	0.5023905436197916	0.00011901855468750001	1.0	0.00011901855468750001
nrlmf	0.018910725911458332	0.018910725911458332	0.005818684895833334	0.04038129534040179	0.00011901855468750001	0.07256292527721775	0.00011901855468750001	0.6288361420502534	0.5023905436197916	0.00011901855468750001	0.11043479225852273	0.00011901855468750001	1.0
