	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_density__50	mse_fixed__50	mse_random__50	mse_size__50
ad_density__50	1.0	0.6931751179245284	0.87213134765625	0.1890184951364908	0.012890625	0.028505522957236046	0.17015625	0.26171875	0.8498263888888888	0.6496875	0.26171875	0.2400323275862069
ad_fixed__50	0.6931751179245284	1.0	0.3753446691176471	0.03580729166666667	0.025781250000000002	0.13427734375	1.0	0.13427734375	0.55	0.87213134765625	0.38349609375	0.26171875
ad_random__50	0.87213134765625	0.3753446691176471	1.0	0.12246093749999999	0.01983173076923077	0.12246093749999999	0.38349609375	0.20529513888888887	0.87213134765625	0.87213134765625	0.42269258720930236	0.13427734375
ad_size__50	0.1890184951364908	0.03580729166666667	0.12246093749999999	1.0	0.012890625	0.87213134765625	0.025781250000000002	0.6496875	0.87213134765625	0.42269258720930236	0.87213134765625	0.38349609375
md_density__50	0.012890625	0.025781250000000002	0.01983173076923077	0.012890625	1.0	0.012890625	0.01983173076923077	0.01983173076923077	0.012890625	0.012890625	0.012890625	0.012890625
md_fixed__50	0.028505522957236046	0.13427734375	0.12246093749999999	0.87213134765625	0.012890625	1.0	0.012890625	0.55	0.6496875	0.13427734375	0.87213134765625	1.0
md_random__50	0.17015625	1.0	0.38349609375	0.025781250000000002	0.01983173076923077	0.012890625	1.0	0.03580729166666667	0.38349609375	0.6496875	0.012890625	0.012890625
md_size__50	0.26171875	0.13427734375	0.20529513888888887	0.6496875	0.01983173076923077	0.55	0.03580729166666667	1.0	0.87213134765625	0.6193104619565217	0.6931751179245284	0.38349609375
mse_density__50	0.8498263888888888	0.55	0.87213134765625	0.87213134765625	0.012890625	0.6496875	0.38349609375	0.87213134765625	1.0	0.6931751179245284	0.26171875	0.38349609375
mse_fixed__50	0.6496875	0.87213134765625	0.87213134765625	0.42269258720930236	0.012890625	0.13427734375	0.6496875	0.6193104619565217	0.6931751179245284	1.0	0.21827307343445	0.42269258720930236
mse_random__50	0.26171875	0.38349609375	0.42269258720930236	0.87213134765625	0.012890625	0.87213134765625	0.012890625	0.6931751179245284	0.26171875	0.21827307343445	1.0	0.87213134765625
mse_size__50	0.2400323275862069	0.26171875	0.13427734375	0.38349609375	0.012890625	1.0	0.012890625	0.38349609375	0.38349609375	0.42269258720930236	0.87213134765625	1.0
