	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_fixed__50	mse_size__50
ad_density__50	1.0	0.2986907958984375	0.899932861328125	0.2986907958984375	5.7220458984375e-05	0.44313756431021345	5.7220458984375e-05	5.7220458984375e-05	0.008002971780711207	5.7220458984375e-05
ad_fixed__50	0.2986907958984375	1.0	0.7604598999023438	0.16216278076171875	5.7220458984375e-05	0.362823486328125	5.7220458984375e-05	5.7220458984375e-05	0.13841965619255514	5.7220458984375e-05
ad_random__50	0.899932861328125	0.7604598999023438	1.0	0.3436748798076923	5.7220458984375e-05	0.5527336652888808	5.7220458984375e-05	5.7220458984375e-05	0.1500026157924107	5.7220458984375e-05
ad_size__50	0.2986907958984375	0.16216278076171875	0.3436748798076923	1.0	5.7220458984375e-05	0.49686976841517855	5.7220458984375e-05	5.7220458984375e-05	0.07865212180397728	5.7220458984375e-05
md_density__50	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	1.0	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	0.027374267578125
md_fixed__50	0.44313756431021345	0.362823486328125	0.5527336652888808	0.49686976841517855	5.7220458984375e-05	1.0	5.7220458984375e-05	5.7220458984375e-05	0.04208472467237903	5.7220458984375e-05
md_random__50	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	1.0	0.05433082580566406	0.000152587890625	0.000152587890625
md_size__50	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	0.05433082580566406	1.0	0.00024523053850446425	0.00010986328124999999
mse_fixed__50	0.008002971780711207	0.13841965619255514	0.1500026157924107	0.07865212180397728	5.7220458984375e-05	0.04208472467237903	0.000152587890625	0.00024523053850446425	1.0	5.7220458984375e-05
mse_size__50	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	5.7220458984375e-05	0.027374267578125	5.7220458984375e-05	0.000152587890625	0.00010986328124999999	5.7220458984375e-05	1.0
