	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_density__50	mse_fixed__50	mse_random__50	mse_size__50
ad_density__50	1.0	0.2921506820186492	0.0166168212890625	0.0008697509765625	7.74676983173077e-05	0.0014770507812500002	7.74676983173077e-05	7.74676983173077e-05	0.00017264229910714287	0.012630462646484375	0.014501953125	0.0024082349694293475
ad_fixed__50	0.2921506820186492	1.0	0.014501953125	0.0166168212890625	7.74676983173077e-05	0.0008697509765625	7.74676983173077e-05	0.00027218380489864866	0.00017264229910714287	0.047220865885416664	0.0692138671875	0.012630462646484375
ad_random__50	0.0166168212890625	0.014501953125	1.0	0.6152315139770508	7.74676983173077e-05	0.00013427734375	7.74676983173077e-05	0.0008697509765625	0.0005164513221153846	0.4858282180059524	0.2586318193855932	0.13509007504111842
ad_size__50	0.0008697509765625	0.0166168212890625	0.6152315139770508	1.0	7.74676983173077e-05	0.00013427734375	7.74676983173077e-05	0.0008697509765625	0.0005164513221153846	0.2774505615234375	0.19954076306573276	0.03108647184551887
md_density__50	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	1.0	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05
md_fixed__50	0.0014770507812500002	0.0008697509765625	0.00013427734375	0.00013427734375	7.74676983173077e-05	1.0	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	0.00013427734375
md_random__50	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	1.0	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05
md_size__50	7.74676983173077e-05	0.00027218380489864866	0.0008697509765625	0.0008697509765625	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	1.0	0.93988037109375	0.00027218380489864866	0.00017264229910714287	0.0008697509765625
mse_density__50	0.00017264229910714287	0.00017264229910714287	0.0005164513221153846	0.0005164513221153846	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	0.93988037109375	1.0	0.00017264229910714287	0.00013427734375	0.00017264229910714287
mse_fixed__50	0.012630462646484375	0.047220865885416664	0.4858282180059524	0.2774505615234375	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	0.00027218380489864866	0.00017264229910714287	1.0	0.2921506820186492	0.0871124267578125
mse_random__50	0.014501953125	0.0692138671875	0.2586318193855932	0.19954076306573276	7.74676983173077e-05	7.74676983173077e-05	7.74676983173077e-05	0.00017264229910714287	0.00013427734375	0.2921506820186492	1.0	0.6788339468149038
mse_size__50	0.0024082349694293475	0.012630462646484375	0.13509007504111842	0.03108647184551887	7.74676983173077e-05	0.00013427734375	7.74676983173077e-05	0.0008697509765625	0.00017264229910714287	0.0871124267578125	0.6788339468149038	1.0
