	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_density__50	mse_fixed__50	mse_random__50	mse_size__50
ad_density__50	1.0	0.00201416015625	1.0	1.0	1.0	1.0	1.0	1.0	0.018039869225543476	0.018039869225543476	0.018039869225543476	0.018039869225543476
ad_fixed__50	0.00201416015625	1.0	0.00201416015625	0.00201416015625	0.009495326450892856	0.009495326450892856	0.009495326450892856	0.009495326450892856	0.0128173828125	0.0128173828125	0.0128173828125	0.0128173828125
ad_random__50	1.0	0.00201416015625	1.0	1.0	1.0	1.0	1.0	1.0	0.018039869225543476	0.018039869225543476	0.018039869225543476	0.018039869225543476
ad_size__50	1.0	0.00201416015625	1.0	1.0	1.0	1.0	1.0	1.0	0.018039869225543476	0.018039869225543476	0.018039869225543476	0.018039869225543476
md_density__50	1.0	0.009495326450892856	1.0	1.0	1.0	1.0	1.0	1.0	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384
md_fixed__50	1.0	0.009495326450892856	1.0	1.0	1.0	1.0	1.0	1.0	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384
md_random__50	1.0	0.009495326450892856	1.0	1.0	1.0	1.0	1.0	1.0	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384
md_size__50	1.0	0.009495326450892856	1.0	1.0	1.0	1.0	1.0	1.0	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384
mse_density__50	0.018039869225543476	0.0128173828125	0.018039869225543476	0.018039869225543476	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384	1.0	1.0	1.0	1.0
mse_fixed__50	0.018039869225543476	0.0128173828125	0.018039869225543476	0.018039869225543476	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384	1.0	1.0	1.0	1.0
mse_random__50	0.018039869225543476	0.0128173828125	0.018039869225543476	0.018039869225543476	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384	1.0	1.0	1.0	1.0
mse_size__50	0.018039869225543476	0.0128173828125	0.018039869225543476	0.018039869225543476	0.07498873197115384	0.07498873197115384	0.07498873197115384	0.07498873197115384	1.0	1.0	1.0	1.0
