	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_density__50	mse_fixed__50	mse_random__50	mse_size__50
ad_density__50	1.0	0.01007080078125	1.0	1.0	0.014799698539402172	0.014799698539402172	0.014799698539402172	0.014799698539402172	1.0	1.0	1.0	1.0
ad_fixed__50	0.01007080078125	1.0	0.01007080078125	0.01007080078125	0.0015106201171875	0.0015106201171875	0.0015106201171875	0.0015106201171875	0.00830841064453125	0.00830841064453125	0.00830841064453125	0.00830841064453125
ad_random__50	1.0	0.01007080078125	1.0	1.0	0.014799698539402172	0.014799698539402172	0.014799698539402172	0.014799698539402172	1.0	1.0	1.0	1.0
ad_size__50	1.0	0.01007080078125	1.0	1.0	0.014799698539402172	0.014799698539402172	0.014799698539402172	0.014799698539402172	1.0	1.0	1.0	1.0
md_density__50	0.014799698539402172	0.0015106201171875	0.014799698539402172	0.014799698539402172	1.0	1.0	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536
md_fixed__50	0.014799698539402172	0.0015106201171875	0.014799698539402172	0.014799698539402172	1.0	1.0	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536
md_random__50	0.014799698539402172	0.0015106201171875	0.014799698539402172	0.014799698539402172	1.0	1.0	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536
md_size__50	0.014799698539402172	0.0015106201171875	0.014799698539402172	0.014799698539402172	1.0	1.0	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536
mse_density__50	1.0	0.00830841064453125	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536	1.0	1.0	1.0	1.0
mse_fixed__50	1.0	0.00830841064453125	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536	1.0	1.0	1.0	1.0
mse_random__50	1.0	0.00830841064453125	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536	1.0	1.0	1.0	1.0
mse_size__50	1.0	0.00830841064453125	1.0	1.0	0.026235727163461536	0.026235727163461536	0.026235727163461536	0.026235727163461536	1.0	1.0	1.0	1.0
