	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_density__50	mse_fixed__50	mse_random__50	mse_size__50
ad_density__50	1.0	6.497290826612903e-05	0.79398193359375	0.2528333485661785	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05
ad_fixed__50	6.497290826612903e-05	1.0	6.497290826612903e-05	6.497290826612903e-05	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05
ad_random__50	0.79398193359375	6.497290826612903e-05	1.0	0.551513546940749	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05
ad_size__50	0.2528333485661785	6.497290826612903e-05	0.551513546940749	1.0	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05
md_density__50	6.497290826612903e-05	0.0013032801011029413	6.497290826612903e-05	6.497290826612903e-05	1.0	0.6061671530946133	0.6061671530946133	0.7799647238513211	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413
md_fixed__50	6.497290826612903e-05	0.0013032801011029413	6.497290826612903e-05	6.497290826612903e-05	0.6061671530946133	1.0	0.34488075657894735	0.7799647238513211	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413
md_random__50	6.497290826612903e-05	0.0013032801011029413	6.497290826612903e-05	6.497290826612903e-05	0.6061671530946133	0.34488075657894735	1.0	0.22442009546711547	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413
md_size__50	6.497290826612903e-05	0.0013032801011029413	6.497290826612903e-05	6.497290826612903e-05	0.7799647238513211	0.7799647238513211	0.22442009546711547	1.0	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413
mse_density__50	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	1.0	0.05199667620906927	0.13997613908466433	0.0824703600587027
mse_fixed__50	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.05199667620906927	1.0	0.794810204345546	0.5063348102917216
mse_random__50	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.13997613908466433	0.794810204345546	1.0	0.3851212853193359
mse_size__50	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	6.497290826612903e-05	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0013032801011029413	0.0824703600587027	0.5063348102917216	0.3851212853193359	1.0
