	ad_density__50	ad_fixed__50	ad_random__50	ad_size__50	md_density__50	md_fixed__50	md_random__50	md_size__50	mse_density__50	mse_fixed__50	mse_random__50	mse_size__50
ad_density__50	1.0	0.2388969089673913	1.0	1.0	0.3986886160714286	0.3986886160714286	0.3986886160714286	0.3986886160714286	0.8181044634650736	0.8181044634650736	0.8181044634650736	0.8181044634650736
ad_fixed__50	0.2388969089673913	1.0	0.2388969089673913	0.2388969089673913	0.5040564903846153	0.5040564903846153	0.5040564903846153	0.5040564903846153	0.0689849853515625	0.0689849853515625	0.0689849853515625	0.0689849853515625
ad_random__50	1.0	0.2388969089673913	1.0	1.0	0.3986886160714286	0.3986886160714286	0.3986886160714286	0.3986886160714286	0.8181044634650736	0.8181044634650736	0.8181044634650736	0.8181044634650736
ad_size__50	1.0	0.2388969089673913	1.0	1.0	0.3986886160714286	0.3986886160714286	0.3986886160714286	0.3986886160714286	0.8181044634650736	0.8181044634650736	0.8181044634650736	0.8181044634650736
md_density__50	0.3986886160714286	0.5040564903846153	0.3986886160714286	0.3986886160714286	1.0	1.0	1.0	1.0	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913
md_fixed__50	0.3986886160714286	0.5040564903846153	0.3986886160714286	0.3986886160714286	1.0	1.0	1.0	1.0	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913
md_random__50	0.3986886160714286	0.5040564903846153	0.3986886160714286	0.3986886160714286	1.0	1.0	1.0	1.0	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913
md_size__50	0.3986886160714286	0.5040564903846153	0.3986886160714286	0.3986886160714286	1.0	1.0	1.0	1.0	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913
mse_density__50	0.8181044634650736	0.0689849853515625	0.8181044634650736	0.8181044634650736	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913	1.0	1.0	1.0	1.0
mse_fixed__50	0.8181044634650736	0.0689849853515625	0.8181044634650736	0.8181044634650736	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913	1.0	1.0	1.0	1.0
mse_random__50	0.8181044634650736	0.0689849853515625	0.8181044634650736	0.8181044634650736	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913	1.0	1.0	1.0	1.0
mse_size__50	0.8181044634650736	0.0689849853515625	0.8181044634650736	0.8181044634650736	0.2388969089673913	0.2388969089673913	0.2388969089673913	0.2388969089673913	1.0	1.0	1.0	1.0
