	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875
ad_fixed__70	0.002685546875	1.0	0.002685546875	0.002685546875	0.0052614795918367345	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875
ad_random__70	0.002685546875	0.002685546875	1.0	0.33238944723958647	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875
ad_size__70	0.002685546875	0.002685546875	0.33238944723958647	1.0	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875
md_density__70	0.002685546875	0.0052614795918367345	0.002685546875	0.002685546875	1.0	0.002685546875	0.4419642857142857	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875
md_fixed__70	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	1.0	0.002685546875	0.12167362983340801	0.3938802083333333	0.3938802083333333	0.4472608341085589	0.7111084229305866
md_random__70	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.4419642857142857	0.002685546875	1.0	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875
md_size__70	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.12167362983340801	0.002685546875	1.0	0.6991525423728814	0.7523053278688525	0.9657738095238095	1.0
mse_density__70	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.3938802083333333	0.002685546875	0.6991525423728814	1.0	1.0	1.0	0.20726102941176472
mse_fixed__70	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.3938802083333333	0.002685546875	0.7523053278688525	1.0	1.0	0.8191784274193548	0.4419642857142857
mse_random__70	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.4472608341085589	0.002685546875	0.9657738095238095	1.0	0.8191784274193548	1.0	0.4911772629310345
mse_size__70	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.002685546875	0.7111084229305866	0.002685546875	1.0	0.20726102941176472	0.4419642857142857	0.4911772629310345	1.0
