	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.8734947791466346	0.015545184795673076	0.00047956194196428575	0.0006130052649456521	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.02379519440406977	0.22724042619977677	0.03137613932291667	0.040711747839095744
ad_fixed__70	0.8734947791466346	1.0	0.0008056640625	0.00047956194196428575	0.0006130052649456521	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.015545184795673076	0.2143215603298611	0.01768530868902439	0.05312347412109375
ad_random__70	0.015545184795673076	0.0008056640625	1.0	0.2821531134136653	0.003093174525669643	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.086326904296875	0.22724042619977677	0.12092859604779412	0.32763671875
ad_size__70	0.00047956194196428575	0.00047956194196428575	0.2821531134136653	1.0	0.0067138671875	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.1646575927734375	0.05968490911989796	0.2630909886853448	0.8063879013061523
md_density__70	0.0006130052649456521	0.0006130052649456521	0.003093174525669643	0.0067138671875	1.0	0.004548103578629032	0.003093174525669643	0.004548103578629032	0.6729568973664314	0.003819958917025862	0.7789684477306548	0.008115880629595588
md_fixed__70	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.004548103578629032	1.0	0.5714601610527664	0.979949951171875	0.009725516183035715	0.000125885009765625	0.00031802528782894735	0.000125885009765625
md_random__70	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.003093174525669643	0.5714601610527664	1.0	0.040711747839095744	0.01768530868902439	0.00022379557291666668	0.002556434044471154	0.00022379557291666668
md_size__70	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.000125885009765625	0.004548103578629032	0.979949951171875	0.040711747839095744	1.0	0.0055389404296875	0.000125885009765625	0.0008056640625	0.000125885009765625
mse_density__70	0.02379519440406977	0.015545184795673076	0.086326904296875	0.1646575927734375	0.6729568973664314	0.009725516183035715	0.01768530868902439	0.0055389404296875	1.0	0.02379519440406977	0.1980717497051887	0.013987223307291668
mse_fixed__70	0.22724042619977677	0.2143215603298611	0.22724042619977677	0.05968490911989796	0.003819958917025862	0.000125885009765625	0.00022379557291666668	0.000125885009765625	0.02379519440406977	1.0	0.03137613932291667	0.24480879934210525
mse_random__70	0.03137613932291667	0.01768530868902439	0.12092859604779412	0.2630909886853448	0.7789684477306548	0.00031802528782894735	0.002556434044471154	0.0008056640625	0.1980717497051887	0.03137613932291667	1.0	0.015545184795673076
mse_size__70	0.040711747839095744	0.05312347412109375	0.32763671875	0.8063879013061523	0.008115880629595588	0.000125885009765625	0.00022379557291666668	0.000125885009765625	0.013987223307291668	0.24480879934210525	0.015545184795673076	1.0
