	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.0324313923463983	0.12623170946465165	0.22149367559523808	5.164513221153846e-05	9.591238839285714e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.0015194541529605264	5.164513221153846e-05	0.002430882947198276
ad_fixed__70	0.0324313923463983	1.0	0.2052494172127016	0.307159423828125	5.164513221153846e-05	0.0015194541529605264	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.0001313582710597826	0.0001313582710597826	0.0007503733915441177
ad_random__70	0.12623170946465165	0.2052494172127016	1.0	0.705718994140625	5.164513221153846e-05	0.0001313582710597826	5.164513221153846e-05	5.164513221153846e-05	9.591238839285714e-05	0.0009500755454009435	0.000209808349609375	0.0009500755454009435
ad_size__70	0.22149367559523808	0.307159423828125	0.705718994140625	1.0	5.164513221153846e-05	0.0004110530931122449	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.00056396484375	0.0001313582710597826	0.00120849609375
md_density__70	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
md_fixed__70	9.591238839285714e-05	0.0015194541529605264	0.0001313582710597826	0.0004110530931122449	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	9.591238839285714e-05	5.164513221153846e-05	0.000209808349609375
md_random__70	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
md_size__70	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	0.10278930664062501	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
mse_density__70	5.164513221153846e-05	5.164513221153846e-05	9.591238839285714e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.10278930664062501	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
mse_fixed__70	0.0015194541529605264	0.0001313582710597826	0.0009500755454009435	0.00056396484375	5.164513221153846e-05	9.591238839285714e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	0.00120849609375	0.3274714543269231
mse_random__70	5.164513221153846e-05	0.0001313582710597826	0.000209808349609375	0.0001313582710597826	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.00120849609375	1.0	5.164513221153846e-05
mse_size__70	0.002430882947198276	0.0007503733915441177	0.0009500755454009435	0.00120849609375	5.164513221153846e-05	0.000209808349609375	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.3274714543269231	5.164513221153846e-05	1.0
