	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.0091552734375	0.860260009765625	0.6788339468149038	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.017641264816810345	4.57763671875e-05	4.57763671875e-05
ad_fixed__70	0.0091552734375	1.0	0.0091552734375	0.01082611083984375	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05
ad_random__70	0.860260009765625	0.0091552734375	1.0	0.6152315139770508	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.0034085787259615385	4.57763671875e-05	4.57763671875e-05
ad_size__70	0.6788339468149038	0.01082611083984375	0.6152315139770508	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.012721011513157894	4.57763671875e-05	4.57763671875e-05
md_density__70	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	8.757218070652174e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.0034085787259615385	0.14512194617319915
md_fixed__70	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	8.757218070652174e-05	1.0	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	8.757218070652174e-05
md_random__70	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	0.0001285634142287234	4.57763671875e-05	4.57763671875e-05	0.24221075148809523	0.15824584960937502
md_size__70	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.0001285634142287234	1.0	0.1866671654485887	4.57763671875e-05	0.006422510686910378	0.002215576171875
mse_density__70	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.1866671654485887	1.0	4.57763671875e-05	0.0010276327327806123	0.00041961669921875
mse_fixed__70	0.017641264816810345	4.57763671875e-05	0.0034085787259615385	0.012721011513157894	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	1.0	4.57763671875e-05	4.57763671875e-05
mse_random__70	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.0034085787259615385	4.57763671875e-05	0.24221075148809523	0.006422510686910378	0.0010276327327806123	4.57763671875e-05	1.0	0.1866671654485887
mse_size__70	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	4.57763671875e-05	0.14512194617319915	8.757218070652174e-05	0.15824584960937502	0.002215576171875	0.00041961669921875	4.57763671875e-05	0.1866671654485887	1.0
