	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.18766718325407608	1.0	1.0	1.0	1.0	1.0	1.0	0.19721505301339287	0.19721505301339287	0.19721505301339287	0.19721505301339287
ad_fixed__70	0.18766718325407608	1.0	0.18766718325407608	0.18766718325407608	0.051159667968749996	0.051159667968749996	0.051159667968749996	0.051159667968749996	1.0	1.0	1.0	1.0
ad_random__70	1.0	0.18766718325407608	1.0	1.0	1.0	1.0	1.0	1.0	0.19721505301339287	0.19721505301339287	0.19721505301339287	0.19721505301339287
ad_size__70	1.0	0.18766718325407608	1.0	1.0	1.0	1.0	1.0	1.0	0.19721505301339287	0.19721505301339287	0.19721505301339287	0.19721505301339287
md_density__70	1.0	0.051159667968749996	1.0	1.0	1.0	1.0	1.0	1.0	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125
md_fixed__70	1.0	0.051159667968749996	1.0	1.0	1.0	1.0	1.0	1.0	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125
md_random__70	1.0	0.051159667968749996	1.0	1.0	1.0	1.0	1.0	1.0	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125
md_size__70	1.0	0.051159667968749996	1.0	1.0	1.0	1.0	1.0	1.0	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125
mse_density__70	0.19721505301339287	1.0	0.19721505301339287	0.19721505301339287	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125	1.0	1.0	1.0	1.0
mse_fixed__70	0.19721505301339287	1.0	0.19721505301339287	0.19721505301339287	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125	1.0	1.0	1.0	1.0
mse_random__70	0.19721505301339287	1.0	0.19721505301339287	0.19721505301339287	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125	1.0	1.0	1.0	1.0
mse_size__70	0.19721505301339287	1.0	0.19721505301339287	0.19721505301339287	0.037891387939453125	0.037891387939453125	0.037891387939453125	0.037891387939453125	1.0	1.0	1.0	1.0
