	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.11614990234375	0.566799587673611	0.9692516326904297	0.00067138671875	0.1434269394985465	0.0007193429129464285	0.00067138671875	0.00067138671875	0.0028869628906250003	0.00067138671875	0.0007193429129464285
ad_fixed__70	0.11614990234375	1.0	0.5027799786261793	0.28477758290816324	0.00125885009765625	0.979949951171875	0.00265869140625	0.0007193429129464285	0.0019134521484374999	0.07311401367187499	0.0007193429129464285	0.00125885009765625
ad_random__70	0.566799587673611	0.5027799786261793	1.0	0.9427868071056548	0.0021893045176630435	0.979949951171875	0.0028869628906250003	0.0021893045176630435	0.0028869628906250003	0.07311401367187499	0.0015665690104166667	0.0021893045176630435
ad_size__70	0.9692516326904297	0.28477758290816324	0.9427868071056548	1.0	0.00067138671875	0.21099446614583334	0.0007193429129464285	0.00067138671875	0.0007193429129464285	0.0015665690104166667	0.0007193429129464285	0.0007193429129464285
md_density__70	0.00067138671875	0.00125885009765625	0.0021893045176630435	0.00067138671875	1.0	0.0035735099546370967	0.9307731253201845	0.6115626284950658	0.9029815673828125	0.0028869628906250003	0.44218562199519235	0.3931640625
md_fixed__70	0.1434269394985465	0.979949951171875	0.979949951171875	0.21099446614583334	0.0035735099546370967	1.0	0.011854771205357143	0.0028869628906250003	0.0055389404296875	0.28477758290816324	0.00265869140625	0.0019134521484374999
md_random__70	0.0007193429129464285	0.00265869140625	0.0028869628906250003	0.0007193429129464285	0.9307731253201845	0.011854771205357143	1.0	0.8030595450565733	0.8747258590439618	0.05035400390624999	0.44218562199519235	0.5945068359375
md_size__70	0.00067138671875	0.0007193429129464285	0.0021893045176630435	0.00067138671875	0.6115626284950658	0.0028869628906250003	0.8030595450565733	1.0	0.6115626284950658	0.03255318306587838	0.10527671255716463	0.27075455036569146
mse_density__70	0.00067138671875	0.0019134521484374999	0.0028869628906250003	0.0007193429129464285	0.9029815673828125	0.0055389404296875	0.8747258590439618	0.6115626284950658	1.0	0.011854771205357143	0.21099446614583334	0.27075455036569146
mse_fixed__70	0.0028869628906250003	0.07311401367187499	0.07311401367187499	0.0015665690104166667	0.0028869628906250003	0.28477758290816324	0.05035400390624999	0.03255318306587838	0.011854771205357143	1.0	0.013987223307291668	0.011854771205357143
mse_random__70	0.00067138671875	0.0007193429129464285	0.0015665690104166667	0.0007193429129464285	0.44218562199519235	0.00265869140625	0.44218562199519235	0.10527671255716463	0.21099446614583334	0.013987223307291668	1.0	0.9427868071056548
mse_size__70	0.0007193429129464285	0.00125885009765625	0.0021893045176630435	0.0007193429129464285	0.3931640625	0.0019134521484374999	0.5945068359375	0.27075455036569146	0.27075455036569146	0.011854771205357143	0.9427868071056548	1.0
