	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.03108647184551887	0.7667970657348633	0.1045314982786017	7.459852430555555e-05	0.5622430616809475	0.00013427734375	0.003204345703125	7.459852430555555e-05	0.05970546177455357	0.0026375906808035715	0.00038105732685810815
ad_fixed__70	0.03108647184551887	1.0	0.003204345703125	0.3769451203893443	7.459852430555555e-05	0.02006261488970588	7.459852430555555e-05	0.00030517578125	7.459852430555555e-05	1.0	0.00013427734375	7.459852430555555e-05
ad_random__70	0.7667970657348633	0.003204345703125	1.0	0.006946797273596939	0.00013427734375	0.2774505615234375	0.0012911283052884615	0.006946797273596939	0.00038105732685810815	0.03108647184551887	0.006946797273596939	0.003853175951086956
ad_size__70	0.1045314982786017	0.3769451203893443	0.006946797273596939	1.0	7.459852430555555e-05	0.05970546177455357	7.459852430555555e-05	0.0016616821289062499	7.459852430555555e-05	0.9950261042668269	0.0001888275146484375	7.459852430555555e-05
md_density__70	7.459852430555555e-05	7.459852430555555e-05	0.00013427734375	7.459852430555555e-05	1.0	7.459852430555555e-05	0.017281494140625	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05
md_fixed__70	0.5622430616809475	0.02006261488970588	0.2774505615234375	0.05970546177455357	7.459852430555555e-05	1.0	7.459852430555555e-05	0.003853175951086956	7.459852430555555e-05	0.09473498114224138	0.0001888275146484375	7.459852430555555e-05
md_random__70	0.00013427734375	7.459852430555555e-05	0.0012911283052884615	7.459852430555555e-05	0.017281494140625	7.459852430555555e-05	1.0	7.459852430555555e-05	0.07572535464638158	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05
md_size__70	0.003204345703125	0.00030517578125	0.006946797273596939	0.0016616821289062499	7.459852430555555e-05	0.003853175951086956	7.459852430555555e-05	1.0	0.00038105732685810815	7.459852430555555e-05	0.00038105732685810815	0.040991889105902776
mse_density__70	7.459852430555555e-05	7.459852430555555e-05	0.00038105732685810815	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05	0.07572535464638158	0.00038105732685810815	1.0	7.459852430555555e-05	0.0021124118711890244	0.0012911283052884615
mse_fixed__70	0.05970546177455357	1.0	0.03108647184551887	0.9950261042668269	7.459852430555555e-05	0.09473498114224138	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05	1.0	7.459852430555555e-05	7.459852430555555e-05
mse_random__70	0.0026375906808035715	0.00013427734375	0.006946797273596939	0.0001888275146484375	7.459852430555555e-05	0.0001888275146484375	7.459852430555555e-05	0.00038105732685810815	0.0021124118711890244	7.459852430555555e-05	1.0	0.7667970657348633
mse_size__70	0.00038105732685810815	7.459852430555555e-05	0.003853175951086956	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05	7.459852430555555e-05	0.040991889105902776	0.0012911283052884615	7.459852430555555e-05	0.7667970657348633	1.0
