	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.00067138671875	1.0	1.0	0.7720552332261029	0.7720552332261029	0.7720552332261029	0.7720552332261029	0.18766718325407608	0.18766718325407608	0.18766718325407608	0.18766718325407608
ad_fixed__70	0.00067138671875	1.0	0.00067138671875	0.00067138671875	0.00787353515625	0.00787353515625	0.00787353515625	0.00787353515625	0.0040283203125	0.0040283203125	0.0040283203125	0.0040283203125
ad_random__70	1.0	0.00067138671875	1.0	1.0	0.7720552332261029	0.7720552332261029	0.7720552332261029	0.7720552332261029	0.18766718325407608	0.18766718325407608	0.18766718325407608	0.18766718325407608
ad_size__70	1.0	0.00067138671875	1.0	1.0	0.7720552332261029	0.7720552332261029	0.7720552332261029	0.7720552332261029	0.18766718325407608	0.18766718325407608	0.18766718325407608	0.18766718325407608
md_density__70	0.7720552332261029	0.00787353515625	0.7720552332261029	0.7720552332261029	1.0	1.0	1.0	1.0	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884
md_fixed__70	0.7720552332261029	0.00787353515625	0.7720552332261029	0.7720552332261029	1.0	1.0	1.0	1.0	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884
md_random__70	0.7720552332261029	0.00787353515625	0.7720552332261029	0.7720552332261029	1.0	1.0	1.0	1.0	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884
md_size__70	0.7720552332261029	0.00787353515625	0.7720552332261029	0.7720552332261029	1.0	1.0	1.0	1.0	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884
mse_density__70	0.18766718325407608	0.0040283203125	0.18766718325407608	0.18766718325407608	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884	1.0	1.0	1.0	1.0
mse_fixed__70	0.18766718325407608	0.0040283203125	0.18766718325407608	0.18766718325407608	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884	1.0	1.0	1.0	1.0
mse_random__70	0.18766718325407608	0.0040283203125	0.18766718325407608	0.18766718325407608	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884	1.0	1.0	1.0	1.0
mse_size__70	0.18766718325407608	0.0040283203125	0.18766718325407608	0.18766718325407608	0.7331026517427884	0.7331026517427884	0.7331026517427884	0.7331026517427884	1.0	1.0	1.0	1.0
