	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	0.624997093563988	0.014217601102941176	0.010276327327806123	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.6519269943237305	5.4436760979729736e-05	5.4436760979729736e-05
ad_fixed__70	0.624997093563988	1.0	0.09639699835526315	0.014217601102941176	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.79398193359375	5.4436760979729736e-05	5.4436760979729736e-05
ad_random__70	0.014217601102941176	0.09639699835526315	1.0	0.5017570120389344	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.19954076306573276	5.4436760979729736e-05	5.4436760979729736e-05
ad_size__70	0.010276327327806123	0.014217601102941176	0.5017570120389344	1.0	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.02614678276909722	5.4436760979729736e-05	5.4436760979729736e-05
md_density__70	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	1.0	0.0030650263247282605	0.004713991855053191	5.4436760979729736e-05	0.3070058014433263	5.4436760979729736e-05	0.05970546177455357	0.00035247802734374997
md_fixed__70	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.0030650263247282605	1.0	0.3832275390625	0.0011444091796875	0.0009333912919207317	5.4436760979729736e-05	0.860260009765625	0.029956054687499997
md_random__70	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.004713991855053191	0.3832275390625	1.0	0.00010329026442307692	0.0011444091796875	5.4436760979729736e-05	0.5273850963961694	0.0166168212890625
md_size__70	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.0011444091796875	0.00010329026442307692	1.0	5.4436760979729736e-05	5.4436760979729736e-05	0.0019246419270833334	0.007091522216796875
mse_density__70	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.3070058014433263	0.0009333912919207317	0.0011444091796875	5.4436760979729736e-05	1.0	5.4436760979729736e-05	0.0011444091796875	0.00010329026442307692
mse_fixed__70	0.6519269943237305	0.79398193359375	0.19954076306573276	0.02614678276909722	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	1.0	5.4436760979729736e-05	5.4436760979729736e-05
mse_random__70	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.05970546177455357	0.860260009765625	0.5273850963961694	0.0019246419270833334	0.0011444091796875	5.4436760979729736e-05	1.0	0.02614678276909722
mse_size__70	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	5.4436760979729736e-05	0.00035247802734374997	0.029956054687499997	0.0166168212890625	0.007091522216796875	0.00010329026442307692	5.4436760979729736e-05	0.02614678276909722	1.0
