	ad_density__70	ad_fixed__70	ad_random__70	ad_size__70	md_density__70	md_fixed__70	md_random__70	md_size__70	mse_density__70	mse_fixed__70	mse_random__70	mse_size__70
ad_density__70	1.0	5.164513221153846e-05	0.9300259686300537	0.40320153141770915	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.002172133501838235	0.002172133501838235	0.002172133501838235	0.002172133501838235
ad_fixed__70	5.164513221153846e-05	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
ad_random__70	0.9300259686300537	5.164513221153846e-05	1.0	0.9349973365632707	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.002172133501838235	0.002172133501838235	0.002172133501838235	0.002172133501838235
ad_size__70	0.40320153141770915	5.164513221153846e-05	0.9349973365632707	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.002172133501838235	0.002172133501838235	0.002172133501838235	0.002172133501838235
md_density__70	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	0.15599453163573404	0.28238645872904317	0.881044430263145	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
md_fixed__70	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.15599453163573404	1.0	0.6757395810959339	0.4042725544417352	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
md_random__70	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.28238645872904317	0.6757395810959339	1.0	0.40320153141770915	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
md_size__70	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.881044430263145	0.4042725544417352	0.40320153141770915	1.0	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05
mse_density__70	0.002172133501838235	5.164513221153846e-05	0.002172133501838235	0.002172133501838235	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	1.0	0.787281122645209	0.49383501095670246	0.49163226751795697
mse_fixed__70	0.002172133501838235	5.164513221153846e-05	0.002172133501838235	0.002172133501838235	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.787281122645209	1.0	0.40320153141770915	0.4869102480990034
mse_random__70	0.002172133501838235	5.164513221153846e-05	0.002172133501838235	0.002172133501838235	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.49383501095670246	0.40320153141770915	1.0	0.4761802323014322
mse_size__70	0.002172133501838235	5.164513221153846e-05	0.002172133501838235	0.002172133501838235	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	5.164513221153846e-05	0.49163226751795697	0.4869102480990034	0.4761802323014322	1.0
